r,z,"v(r,z)",u_r,w_z,P
0,0.05,0,0,0,-6.07E-05
0,0.0497,3.92229,0,3.92229,-5.56E-06
0,0.04945,1.77585,0,-1.77585,9.35E-05
0,0.0492,10.2251,0,-10.2251,-7.55E-05
0,0.04895,10.4645,0,10.4645,-1.87E-05
0,0.0487,2.0329,0,-2.0329,5.43E-05
0,0.04845,4.87339,0,-4.87339,0.000108
0,0.0482,17.1398,0,-17.1398,-0.00012
0,0.04795,6.13166,0,6.13166,1.42E-05
0,0.0477,8.21798,0,-8.21798,0.000113
0,0.04745,62.2169,0,-62.2169,-8.77E-05
0,0.0472,10.3881,0,10.3881,7.30E-06
0,0.04695,90.664,0,90.664,-3.39E-05
0,0.0467,4.71159,0,4.71159,1.52E-05
0,0.04645,5.26957,0,5.26957,1.55E-05
0,0.0462,11.6621,0,11.6621,2.10E-06
0,0.04595,0.719699,0,0.719699,1.18E-05
0,0.0457,3.61659,0,-3.61659,6.50E-06
0,0.04545,1.48563,0,-1.48563,1.62E-05
0,0.0452,0.032566,0,0.032566,-2.49E-05
0,0.04495,22.1384,0,-22.1384,3.26E-05
0,0.0447,6.96464,0,-6.96464,1.13E-05
0,0.04445,14.8518,0,14.8518,-3.52E-05
0,0.0442,17.4504,0,17.4504,2.88E-05
0,0.04395,10.1701,0,10.1701,0.000114
0,0.0437,14.2873,0,14.2873,-3.67E-05
0,0.04345,4.84884,0,4.84884,-0.00022
0,0.0432,7.53054,0,7.53054,-9.07E-05
0,0.04295,15.3776,0,15.3776,0.0001
0,0.0427,9.6737,0,9.6737,-8.58E-06
0,0.04245,7.25082,0,7.25082,-0.00015
0,0.0422,7.02788,0,7.02788,2.52E-05
0,0.04195,0.46277,0,-0.46277,2.36E-05
0,0.0417,8.77829,0,-8.77829,-9.31E-05
0,0.04145,12.7211,0,12.7211,9.06E-05
0,0.0412,9.30923,0,-9.30923,-0.00013
0,0.04095,69.8519,0,69.8519,5.89E-05
0,0.0407,15.4705,0,-15.4705,-5.32E-05
0,0.04045,1.68536,0,1.68536,8.39E-06
0,0.0402,0.252371,0,-0.25237,7.64E-06
0,0.03995,9.54187,0,9.54187,-9.46E-05
0,0.0397,0.378774,0,-0.37877,4.84E-05
0,0.03945,0.518365,0,0.518365,0.00091
0,0.0392,6.44859,0,-6.44859,-0.00011
0,0.03895,9.23038,0,9.23038,0.000101
0,0.0387,0.909928,0,0.909928,-3.12E-05
0,0.03845,0.218299,0,0.218299,0.000168
0,0.0382,54.4045,0,54.4045,-0.00014
0,0.03795,1.29432,0,-1.29432,-2.25E-05
0,0.0377,8.29601,0,-8.29601,6.66E-05
0,0.03745,5.15029,0,-5.15029,-8.09E-05
0,0.0372,1.17457,0,-1.17457,0.000102
0,0.03695,2.95283,0,2.95283,7.88E-05
0,0.0367,5.84221,0,5.84221,-0.0001
0,0.03645,1.45725,0,-1.45725,5.86E-05
0,0.0362,1.38783,0,-1.38783,-4.21E-05
0,0.03595,4.32769,0,-4.32769,0.000178
0,0.0357,0.236605,0,-0.23661,5.25E-05
0,0.03545,5.5332,0,-5.5332,-4.53E-05
0,0.0352,8.41391,0,-8.41391,0.000118
0,0.03495,8.20418,0,-8.20418,-4.63E-05
0,0.0347,4.77738,0,-4.77738,8.10E-05
0,0.03445,1.62417,0,1.62417,3.68E-06
0,0.0342,1.57528,0,1.57528,0.000193
0,0.03395,2.74734,0,2.74734,6.88E-06
0,0.0337,1.96489,0,-1.96489,-0.00015
0,0.03345,0.064624,0,-0.06462,6.70E-05
0,0.0332,4.69967,0,-4.69967,7.98E-05
0,0.03295,14.0546,0,-14.0546,-2.28E-05
0,0.0327,1.11936,0,1.11936,-2.75E-06
0,0.03245,8.86565,0,8.86565,1.76E-05
0,0.0322,0.103702,0,-0.1037,1.36E-05
0,0.03195,7.15315,0,7.15315,-3.96E-05
0,0.0317,5.94598,0,5.94598,9.93E-05
0,0.03145,9.13915,0,9.13915,-8.68E-05
0,0.0312,5.64267,0,5.64267,0.000107
0,0.03095,4.55303,0,4.55303,-8.00E-05
0,0.0307,5.9758,0,-5.9758,0.000212
0,0.03045,12.9853,0,-12.9853,-0.0003
0,0.0302,1.94425,0,-1.94425,0.000242
0,0.02995,0.531474,0,-0.53147,-0.00011
0,0.0297,2.63506,0,-2.63506,-6.98E-05
0,0.02945,28.5725,0,-28.5725,-0.00024
0,0.0292,6.17182,0,-6.17182,0.000287
0,0.02895,38.709,0,38.709,-0.00031
0,0.0287,130.824,0,-130.824,0.00024
0,0.02845,46.0562,0,46.0562,-0.00031
0,0.0282,13.1931,0,13.1931,0.000127
0,0.02795,11.449,0,11.449,-0.00024
0,0.0277,7.19889,0,-7.19889,0.000179
0,0.02745,5.04361,0,-5.04361,-5.86E-05
0,0.0272,3.58711,0,3.58711,9.85E-05
0,0.02695,5.38378,0,5.38378,-2.29E-05
0,0.0267,12.423,0,12.423,-0.00013
0,0.02645,4.06671,0,4.06671,0.000143
0,0.0262,0.320255,0,-0.32026,0.000256
0,0.02595,9.42857,0,9.42857,-7.82E-06
0,0.0257,5.66691,0,5.66691,0.000494
0,0.02545,10.1639,0,10.1639,-0.00027
0,0.0252,3.79078,0,-3.79078,-0.0003
0,0.02495,5.60249,0,5.60249,0.00021
0,0.0247,3.10526,0,3.10526,-0.00011
0,0.02445,8.41856,0,8.41856,0.000401
0,0.0242,5.2133,0,-5.2133,-0.00012
0,0.02395,10.8845,0,-10.8845,0.000663
0,0.0237,3.77983,0,-3.77983,-0.00077
0,0.02345,9.68357,0,-9.68357,-0.00021
0,0.0232,8.28503,0,8.28503,0.000138
0,0.02295,11.9196,0,-11.9196,-3.91E-05
0,0.0227,2.38116,0,-2.38116,0.000255
0,0.02245,9.54939,0,9.54939,-0.00014
0,0.0222,2.43956,0,2.43956,4.97E-05
0,0.02195,9.99693,0,9.99693,0.000163
0,0.0217,11.5089,0,-11.5089,-6.67E-05
0,0.02145,5.10034,0,5.10034,2.83E-05
0,0.0212,13.2216,0,13.2216,0.000211
