r,z,"v(r,z)",u_r,w_z,P
0,0.05,0,0,0,-0.00187
0,0.0497,16.6806,0,16.6806,0.003264
0,0.04945,6.29268,0,-6.29268,0.002104
0,0.0492,0.874637,0,0.874637,-0.00069
0,0.04895,10.0371,0,-10.0371,0.000808
0,0.0487,48.9912,0,48.9912,-0.00055
0,0.04845,2.2234,0,2.2234,-0.00016
0,0.0482,77.6513,0,77.6513,0.000209
0,0.04795,65.8079,0,65.8079,-9.92E-05
0,0.0477,70.7967,0,70.7967,0.000464
0,0.04745,35.8304,0,35.8304,-0.00026
0,0.0472,2.48478,0,-2.48478,0.000306
0,0.04695,23.3454,0,-23.3454,0.000559
0,0.0467,11.1784,0,-11.1784,0.000346
0,0.04645,25.6323,0,-25.6323,-0.00028
0,0.0462,43.8377,0,-43.8377,-0.00034
0,0.04595,8.3173,0,-8.3173,0.000606
0,0.0457,16.2354,0,16.2354,-0.00053
0,0.04545,125.69,0,-125.69,0.000241
0,0.0452,45.0064,0,-45.0064,-0.00064
0,0.04495,1.44915,0,1.44915,-0.00015
0,0.0447,5.1787,0,5.1787,-9.98E-05
0,0.04445,4.73918,0,4.73918,-0.00017
0,0.0442,24.1407,0,-24.1407,-0.00016
0,0.04395,58.7357,0,-58.7357,-0.00011
0,0.0437,3.65748,0,-3.65748,0.000479
0,0.04345,17.7484,0,-17.7484,-0.00048
0,0.0432,29.4776,0,-29.4776,0.000183
0,0.04295,3.10377,0,3.10377,-0.00017
0,0.0427,21.2517,0,-21.2517,0.000328
0,0.04245,0.945181,0,0.945181,-0.00046
0,0.0422,5.96163,0,-5.96163,0.000973
0,0.04195,17.5761,0,17.5761,-0.00105
0,0.0417,11.9276,0,-11.9276,0.000642
0,0.04145,17.4718,0,-17.4718,-0.00037
0,0.0412,16.035,0,-16.035,0.000228
0,0.04095,24.6815,0,-24.6815,0.000239
0,0.0407,11.9395,0,-11.9395,-0.00045
0,0.04045,24.9895,0,-24.9895,0.000396
0,0.0402,3.39953,0,3.39953,-0.00082
0,0.03995,33.813,0,-33.813,0.000191
0,0.0397,20.4397,0,-20.4397,0.000674
0,0.03945,4.64194,0,-4.64194,-0.00082
0,0.0392,21.1561,0,21.1561,0.001206
0,0.03895,7.682,0,7.682,-0.00055
0,0.0387,22.0046,0,22.0046,0.000132
0,0.03845,30.205,0,-30.205,-0.00017
0,0.0382,15.5517,0,-15.5517,-0.00084
0,0.03795,55.8754,0,55.8754,0.000886
0,0.0377,48.1412,0,48.1412,-0.00149
