r,z,"v(r,z)",u_r,w_z,P
0,0.05,0,0,0,0.002676
0,0.0497,67.7493,0,-67.7493,0.00117
0,0.04945,22.6649,0,-22.6649,0.001088
0,0.0492,9.76864,0,-9.76864,0.001291
0,0.04895,54.8383,0,-54.8383,0.000837
0,0.0487,2.73423,0,-2.73423,0.001368
0,0.04845,6.78577,0,-6.78577,0.001224
0,0.0482,21.1528,0,21.1528,0.001951
0,0.04795,44.159,0,44.159,-9.39E-06
0,0.0477,19.3734,0,19.3734,0.001429
0,0.04745,26.5653,0,26.5653,0.000918
0,0.0472,67.2339,0,-67.2339,0.001411
0,0.04695,86.2633,0,86.2633,0.001028
0,0.0467,49.9683,0,49.9683,0.001558
0,0.04645,7.80309,0,-7.80309,0.001263
0,0.0462,44.2398,0,44.2398,0.000723
0,0.04595,45.6175,0,-45.6175,0.002341
0,0.0457,106.079,0,-106.079,0.002069
0,0.04545,41.4128,0,-41.4128,0.000866
0,0.0452,5.76001,0,-5.76001,0.001768
0,0.04495,12.3546,0,12.3546,0.000431
0,0.0447,108.173,0,108.173,0.002413
0,0.04445,97.8817,0,97.8817,0.000995
0,0.0442,353.383,0,-353.383,0.000496
0,0.04395,318.404,0,-318.404,0.002343
0,0.0437,19.7571,0,-19.7571,-7.16E-05
0,0.04345,60.5888,0,60.5888,0.002557
0,0.0432,60.5218,0,60.5218,0.001076
0,0.04295,49.1265,0,-49.1265,0.001124
0,0.0427,17.7788,0,-17.7788,0.001534
0,0.04245,31.0068,0,-31.0068,0.001493
0,0.0422,64.6927,0,64.6927,0.002057
0,0.04195,160.546,0,-160.546,-0.00047
0,0.0417,148.873,0,148.873,0.00536
0,0.04145,688.563,0,688.563,-0.00328
0,0.0412,352.828,0,352.828,0.004197
0,0.04095,38.0424,0,-38.0424,-0.00218
0,0.0407,102.603,0,102.603,0.006199
0,0.04045,356.905,0,356.905,0.00048
0,0.0402,1.21322,0,-1.21322,0.001186
0,0.03995,225.939,0,225.939,0.000248
0,0.0397,284.817,0,284.817,0.001897
0,0.03945,219.799,0,219.799,0.000442
0,0.0392,30.2125,0,30.2125,0.000508
0,0.03895,286.265,0,286.265,0.000791
0,0.0387,148.272,0,148.272,0.001659
0,0.03845,86.9616,0,-86.9616,-4.58E-05
0,0.0382,7.30314,0,-7.30314,0.003602
0,0.03795,26.6882,0,26.6882,-0.00042
0,0.0377,239.717,0,-239.717,-0.00041
0,0.03745,142.279,0,142.279,0.000175
0,0.0372,88.8451,0,-88.8451,0.00103
0,0.03695,166.396,0,-166.396,0.001884
0,0.0367,18.6256,0,18.6256,0.000518
0,0.03645,50.4759,0,50.4759,0.001191
0,0.0362,22.1228,0,22.1228,0.001322
0,0.03595,98.5994,0,98.5994,0.000189
0,0.0357,92.4392,0,92.4392,0.002073
0,0.03545,68.5339,0,68.5339,0.000426
0,0.0352,29.2631,0,-29.2631,0.00178
0,0.03495,88.4649,0,-88.4649,0.001073
0,0.0347,92.0246,0,92.0246,0.001115
0,0.03445,54.7228,0,54.7228,0.001318
0,0.0342,3.54993,0,3.54993,0.00152
0,0.03395,32.6587,0,32.6587,0.001283
0,0.0337,39.5129,0,-39.5129,0.000476
0,0.03345,48.4084,0,48.4084,0.001766
0,0.0332,142.301,0,142.301,0.000661
0,0.03295,47.1201,0,-47.1201,0.001298
0,0.0327,14.6167,0,-14.6167,0.000578
0,0.03245,34.5773,0,34.5773,0.000864
0,0.0322,31.8529,0,31.8529,0.001435
0,0.03195,15.9714,0,-15.9714,0.000715
0,0.0317,36.7789,0,-36.7789,0.002194
0,0.03145,54.5095,0,54.5095,0.001753
0,0.0312,95.1779,0,95.1779,0.0004
0,0.03095,4.87149,0,4.87149,0.001931
0,0.0307,15.2106,0,15.2106,0.000933
0,0.03045,52.4248,0,52.4248,0.001448
0,0.0302,198.007,0,-198.007,0.000959
0,0.02995,2008.47,0,-2008.47,0.0011
0,0.0297,169.483,0,-169.483,0.001117
0,0.02945,74.5451,0,74.5451,0.000634
