r,z,"v(r,z)",u_r,w_z,P
0,0.05,0,0,0,-0.13116
0,0.0497,2.70299,0,-2.70299,0.03132
0,0.04945,3.3678,0,-3.3678,-0.04907
0,0.0492,3.46204,0,-3.46204,-0.1367
0,0.04895,2.59207,0,-2.59207,0.152887
0,0.0487,2.46894,0,-2.46894,-0.0219
0,0.04845,2.64003,0,-2.64003,0.025451
0,0.0482,0.358568,0,-0.35857,0.006471
0,0.04795,1.3924,0,1.3924,-0.01811
0,0.0477,1.01628,0,1.01628,-0.01964
0,0.04745,2.46833,0,2.46833,0.074893
0,0.0472,1.74132,0,1.74132,-0.01965
0,0.04695,2.8456,0,2.8456,-0.01566
0,0.0467,2.81591,0,2.81591,-0.04988
0,0.04645,2.19074,0,-2.19074,0.120076
0,0.0462,0.814093,0,-0.81409,0.045517
0,0.04595,0.050449,0,-0.05045,-0.16658
0,0.0457,0.634376,0,0.634376,-0.00483
0,0.04545,2.43385,0,-2.43385,0.008205
0,0.0452,0.00961,0,-0.00961,-0.0429
0,0.04495,0.556928,0,-0.55693,0.034136
0,0.0447,1.90746,0,-1.90746,-0.07544
0,0.04445,5.07995,0,-5.07995,0.090175
0,0.0442,4.91753,0,-4.91753,0.045125
0,0.04395,1.08667,0,1.08667,0.16216
0,0.0437,1.43877,0,-1.43877,-0.0961
0,0.04345,0.868777,0,-0.86878,0.11448
0,0.0432,1.33577,0,1.33577,0.158758
0,0.04295,3.48784,0,-3.48784,0.129055
0,0.0427,5.4758,0,-5.4758,-0.13187
0,0.04245,5.79413,0,-5.79413,0.004081
0,0.0422,7.53328,0,7.53328,-0.13834
0,0.04195,5.17574,0,-5.17574,-0.09194
0,0.0417,0.634453,0,-0.63445,0.027334
0,0.04145,1.42178,0,1.42178,-0.18912
0,0.0412,6.57362,0,6.57362,0.060201
0,0.04095,4.32872,0,4.32872,-0.16144
0,0.0407,2.11871,0,-2.11871,-0.02557
0,0.04045,7.31944,0,-7.31944,-0.02307
0,0.0402,4.19083,0,-4.19083,-0.03473
0,0.03995,3.79465,0,-3.79465,-0.00559
0,0.0397,5.39201,0,-5.39201,0.126447
0,0.03945,5.26339,0,-5.26339,-0.42973
0,0.0392,1.96027,0,-1.96027,-0.1421
0,0.03895,1.99501,0,1.99501,-0.06752
0,0.0387,5.15907,0,5.15907,0.229445
0,0.03845,0.358941,0,-0.35894,-0.2608
0,0.0382,1.11889,0,-1.11889,-0.45598
0,0.03795,0.592919,0,0.592919,0.1194
0,0.0377,1.27146,0,1.27146,-0.31391
0,0.03745,0.702504,0,0.702504,-0.09601
0,0.0372,0.179971,0,0.179971,0.085777
0,0.03695,0.397824,0,0.397824,-0.04305
0,0.0367,1.00178,0,1.00178,-0.04756
0,0.03645,0.689378,0,-0.68938,0.036567
0,0.0362,2.09693,0,-2.09693,-0.17049
