r,z,"v(r,z)",u_r,w_z,P
0,0.05,0,0,0,0.000575
0,0.0497,28.7505,0,28.7505,0.000767
0,0.04945,5.70974,0,5.70974,0.001045
0,0.0492,9.28419,0,9.28419,0.000721
0,0.04895,15.4173,0,-15.4173,0.001066
0,0.0487,2.39375,0,-2.39375,0.001231
0,0.04845,5.69039,0,-5.69039,0.000646
0,0.0482,39.3355,0,-39.3355,0.00107
0,0.04795,2.77072,0,2.77072,0.000388
0,0.0477,28.1305,0,28.1305,0.001459
0,0.04745,17.6031,0,17.6031,0.000364
0,0.0472,1.06206,0,-1.06206,0.001488
0,0.04695,11.9317,0,11.9317,0.000736
0,0.0467,4.89224,0,-4.89224,0.000822
0,0.04645,7.61471,0,7.61471,0.001146
0,0.0462,32.8321,0,32.8321,0.001401
0,0.04595,39.4267,0,39.4267,0.0013
0,0.0457,36.3838,0,36.3838,0.000967
0,0.04545,14.1633,0,-14.1633,0.000807
0,0.0452,5.8499,0,-5.8499,0.00106
0,0.04495,10.5598,0,-10.5598,0.001018
0,0.0447,17.5239,0,-17.5239,0.000864
0,0.04445,0.451906,0,-0.45191,0.000641
0,0.0442,22.0316,0,-22.0316,0.001399
0,0.04395,22.1961,0,-22.1961,0.000721
0,0.0437,22.811,0,22.811,0.001235
0,0.04345,13.4494,0,-13.4494,0.000755
0,0.0432,12.5886,0,-12.5886,0.000875
0,0.04295,10.4381,0,10.4381,0.001043
0,0.0427,12.2728,0,-12.2728,0.000692
0,0.04245,1.87947,0,1.87947,0.001371
0,0.0422,16.7197,0,-16.7197,0.000591
0,0.04195,13.617,0,13.617,0.001147
0,0.0417,16.9732,0,-16.9732,0.00078
0,0.04145,13.5062,0,13.5062,0.00126
0,0.0412,162.64,0,-162.64,0.000518
0,0.04095,54.4138,0,-54.4138,0.00141
0,0.0407,19.6938,0,19.6938,0.000727
0,0.04045,88.4744,0,-88.4744,0.00109
0,0.0402,3.97111,0,3.97111,0.001212
0,0.03995,0.058491,0,-0.05849,0.000769
0,0.0397,7.0388,0,7.0388,0.001474
0,0.03945,13.6951,0,-13.6951,0.000906
0,0.0392,2.00008,0,2.00008,0.000766
0,0.03895,1.08416,0,-1.08416,0.001065
0,0.0387,14.8802,0,14.8802,0.000804
0,0.03845,11.1399,0,-11.1399,0.001216
0,0.0382,10.9979,0,10.9979,0.001377
0,0.03795,2.12771,0,2.12771,0.001319
0,0.0377,1.38351,0,1.38351,0.001231
0,0.03745,3.66956,0,3.66956,0.000799
0,0.0372,31.3054,0,31.3054,0.000921
0,0.03695,31.0117,0,-31.0117,0.001348
0,0.0367,3.53343,0,3.53343,0.00022
0,0.03645,23.8245,0,-23.8245,0.001745
0,0.0362,66.7524,0,-66.7524,0.001366
0,0.03595,8.91029,0,8.91029,0.000729
0,0.0357,36.8385,0,36.8385,0.001085
0,0.03545,42.6503,0,42.6503,0.000876
0,0.0352,85.1256,0,85.1256,0.001242
0,0.03495,2.3858,0,2.3858,0.00131
0,0.0347,5.1344,0,5.1344,0.000374
0,0.03445,19.4513,0,-19.4513,0.001048
0,0.0342,10.7003,0,-10.7003,0.000516
0,0.03395,24.0169,0,24.0169,0.001819
0,0.0337,11.5623,0,-11.5623,0.000342
0,0.03345,129.751,0,-129.751,0.002419
0,0.0332,23.7615,0,-23.7615,-0.00102
0,0.03295,4.42879,0,4.42879,0.002432
0,0.0327,8.05674,0,8.05674,9.32E-05
0,0.03245,19.9048,0,-19.9048,0.001234
0,0.0322,40.4808,0,40.4808,-0.00105
0,0.03195,24.6756,0,24.6756,0.000761
0,0.0317,71.3287,0,71.3287,-0.00303
0,0.03145,52.2147,0,52.2147,0.002153
0,0.0312,26.2493,0,-26.2493,-0.00072
0,0.03095,18.2225,0,18.2225,-0.00073
0,0.0307,14.5642,0,14.5642,0.002656
0,0.03045,21.8119,0,21.8119,0.000562
0,0.0302,51.0636,0,51.0636,0.000582
0,0.02995,41.1079,0,41.1079,-6.16E-05
0,0.0297,13.0562,0,13.0562,0.001305
0,0.02945,9.98779,0,-9.98779,0.000363
0,0.0292,11.4508,0,-11.4508,0.000501
0,0.02895,6.95998,0,-6.95998,0.001694
0,0.0287,1.9734,0,1.9734,-0.00011
0,0.02845,12.6271,0,12.6271,0.001797
0,0.0282,22.2638,0,22.2638,0.001006
0,0.02795,34.6833,0,34.6833,0.000543
0,0.0277,21.9945,0,21.9945,0.001447
0,0.02745,7.41813,0,7.41813,-0.00036
0,0.0272,21.7904,0,21.7904,0.001234
0,0.02695,14.8731,0,14.8731,0.001413
0,0.0267,1.43377,0,1.43377,0.000942
0,0.02645,3.09398,0,3.09398,0.00194
0,0.0262,68.5417,0,68.5417,0.002124
0,0.02595,39.1844,0,39.1844,0.000184
0,0.0257,3.28029,0,-3.28029,0.001902
0,0.02545,16.1708,0,-16.1708,0.002085
0,0.0252,4.81397,0,-4.81397,-9.11E-05
0,0.02495,11.0774,0,-11.0774,0.001755
0,0.0247,17.2948,0,-17.2948,0.00065
0,0.02445,4.20365,0,-4.20365,0.001168
0,0.0242,25.2546,0,25.2546,0.001249
0,0.02395,0.248236,0,0.248236,0.000956
0,0.0237,19.9981,0,19.9981,0.000867
0,0.02345,16.5816,0,-16.5816,0.000494
0,0.0232,3.76145,0,3.76145,0.00239
0,0.02295,29.318,0,29.318,0.000112
0,0.0227,18.7574,0,-18.7574,0.002152
0,0.02245,21.0921,0,-21.0921,0.001574
0,0.0222,36.509,0,36.509,0.000484
0,0.02195,13.8426,0,13.8426,0.001098
0,0.0217,22.6212,0,22.6212,0.000877
0,0.02145,3.71178,0,3.71178,0.000654
0,0.0212,27.3178,0,27.3178,0.001846
0,0.02095,57.4674,0,57.4674,0.000765
0,0.0207,5.03911,0,5.03911,0.00141
0,0.02045,37.6777,0,-37.6777,0.001402
0,0.0202,202.664,0,202.664,0.000734
0,0.01995,69.8344,0,69.8344,0.000572
0,0.0197,114.512,0,-114.512,0.0017
0,0.01945,189.353,0,-189.353,0.00168
0,0.0192,3.36786,0,3.36786,0.000327
0,0.01895,23.4517,0,23.4517,0.001525
0,0.0187,188.618,0,-188.618,0.000255
0,0.01845,47.394,0,47.394,0.001451
0,0.0182,13.4477,0,13.4477,-0.00023
0,0.01795,53.3802,0,53.3802,0.00142
0,0.0177,12.4789,0,-12.4789,0.002035
0,0.01745,23.1156,0,-23.1156,0.000954
0,0.0172,6.90001,0,-6.90001,0.003429
0,0.01695,42.8776,0,-42.8776,-3.59E-05
0,0.0167,14.9506,0,-14.9506,0.00095
0,0.01645,33.6444,0,33.6444,0.000851
0,0.0162,120.572,0,-120.572,0.000823
0,0.01595,63.5345,0,63.5345,0.001038
0,0.0157,223.057,0,-223.057,0.001125
0,0.01545,663.114,0,663.114,0.001055
0,0.0152,461.734,0,461.734,0.001389
0,0.01495,41.0672,0,-41.0672,0.002956
0,0.0147,123.255,0,-123.255,-0.00016
0,0.01445,127.915,0,-127.915,0.002958
0,0.0142,279.975,0,-279.975,0.001471
0,0.01395,28.5508,0,28.5508,-0.00071
0,0.0137,34.4164,0,-34.4164,0.004047
0,0.01345,0.84063,0,0.84063,-0.00053
0,0.0132,1.59344,0,-1.59344,0.002265
0,0.01295,77.0687,0,-77.0687,0.00093
0,0.0127,38.7759,0,38.7759,-0.00063
0,0.01245,21.7917,0,21.7917,0.001629
0,0.0122,373.178,0,-373.178,0.000354
0,0.01195,176.297,0,176.297,0.002621
0,0.0117,237.738,0,237.738,-0.00124
0,0.01145,107.371,0,107.371,0.002125
0,0.0112,75.5339,0,-75.5339,0.001746
0,0.01095,295.394,0,-295.394,8.63E-05
0,0.0107,325.111,0,325.111,0.000854
0,0.01045,53.9344,0,-53.9344,0.001369
0,0.0102,14.4408,0,-14.4408,0.001739
0,0.00995,61.171,0,61.171,-0.00077
0,0.0097,143.385,0,143.385,0.001554
0,0.00945,28.6674,0,28.6674,0.001101
0,0.0092,200.945,0,200.945,0.002066
0,0.00895,138.905,0,138.905,-0.00083
0,0.0087,109.45,0,-109.45,0.001521
0,0.00845,62.1328,0,-62.1328,0.001488
0,0.0082,113.97,0,113.97,0.000383
0,0.00795,14.0096,0,-14.0096,6.87E-05
