r,z,"v(r,z)",u_r,w_z,P
0,0.05,0,0,0,-214713
0,0.0497,3.47733,0,3.47733,22343.2
0,0.04945,2.85772,0,2.85772,-138155
0,0.0492,0.594017,0,-0.594017,296207
0,0.04895,2.16919,0,-2.16919,466840
0,0.0487,1.68575,0,-1.68575,27349.1
0,0.04845,1.06351,0,-1.06351,-1039560
0,0.0482,3.58713,0,3.58713,-377034
0,0.04795,0.745638,0,0.745638,151034
0,0.0477,5.19426,0,5.19426,-531169
0,0.04745,4.54815,0,4.54815,-1315520
0,0.0472,0.64171,0,-0.64171,48570.2
0,0.04695,2.74182,0,-2.74182,989.469
0,0.0467,3.47834,0,-3.47834,197325
0,0.04645,1.05114,0,-1.05114,-149091
0,0.0462,0.525057,0,0.525057,130199
0,0.04595,2.0297,0,2.0297,533716
0,0.0457,1.32396,0,1.32396,-237502
0,0.04545,1.36903,0,-1.36903,759271
0,0.0452,1.31675,0,-1.31675,-400749
0,0.04495,1.68278,0,-1.68278,482318
0,0.0447,0.988184,0,-0.988184,-148492
0,0.04445,1.74341,0,-1.74341,370337
0,0.0442,2.18962,0,-2.18962,142341
0,0.04395,1.10177,0,-1.10177,-1409030
0,0.0437,3.83262,0,-3.83262,76266.7
0,0.04345,6.14506,0,-6.14506,-549050
0,0.0432,5.46236,0,-5.46236,853118
0,0.04295,4.54723,0,-4.54723,-731409
0,0.0427,4.76003,0,-4.76003,-969691
0,0.04245,3.96962,0,-3.96962,265504
0,0.0422,4.57195,0,-4.57195,5915.98
0,0.04195,4.30229,0,-4.30229,-551913
0,0.0417,4.58361,0,4.58361,-184076
0,0.04145,2.07576,0,2.07576,189196
0,0.0412,0.853959,0,0.853959,-11454.2
0,0.04095,2.94317,0,2.94317,-409843
0,0.0407,0.534335,0,-0.534335,360342
0,0.04045,0.429375,0,0.429375,-808102
0,0.0402,4.18154,0,-4.18154,-77630.8
0,0.03995,4.06004,0,-4.06004,404233
0,0.0397,3.27766,0,-3.27766,-406861
0,0.03945,2.7869,0,-2.7869,9000.01
0,0.0392,2.4281,0,-2.4281,230680
0,0.03895,2.2675,0,-2.2675,224467
0,0.0387,1.80353,0,-1.80353,-7477.22
0,0.03845,0.0863347,0,-0.0863347,523938
0,0.0382,1.90629,0,-1.90629,-22889.6
0,0.03795,1.35099,0,-1.35099,-217457
0,0.0377,0.652954,0,-0.652954,108542
0,0.03745,1.46785,0,1.46785,93717.9
0,0.0372,3.76277,0,3.76277,-751935
0,0.03695,3.56006,0,3.56006,1239300
0,0.0367,3.03415,0,3.03415,-213799
0,0.03645,0.259287,0,0.259287,-780327
0,0.0362,1.50554,0,-1.50554,194647
0,0.03595,3.89647,0,-3.89647,-44361.1
0,0.0357,1.50298,0,-1.50298,-54753.2
0,0.03545,1.22495,0,-1.22495,330760
0,0.0352,0.111964,0,-0.111964,194482
0,0.03495,0.792828,0,0.792828,262560
0,0.0347,3.60406,0,3.60406,-317170
0,0.03445,5.2068,0,5.2068,1899850
0,0.0342,4.6324,0,4.6324,-982659
0,0.03395,3.16051,0,3.16051,-568171
0,0.0337,0.934082,0,0.934082,-525846
0,0.03345,3.20134,0,-3.20134,596420
0,0.0332,3.36048,0,-3.36048,-319563
0,0.03295,5.79735,0,-5.79735,507042
0,0.0327,6.80931,0,-6.80931,-378276
0,0.03245,6.71494,0,-6.71494,1063560
0,0.0322,7.11088,0,-7.11088,171301
0,0.03195,6.70629,0,-6.70629,-601893
0,0.0317,5.41159,0,-5.41159,-736540
0,0.03145,3.13016,0,-3.13016,329015
0,0.0312,1.84832,0,1.84832,-121873
0,0.03095,3.41718,0,3.41718,51449.6
