r,z,"v(r,z)",u_r,w_z,P
0,0.05,0,0,0,0.002127
0,0.0497,0.219593,0,0.219593,0.003722
0,0.04945,0.130357,0,0.130357,-0.00142
0,0.0492,0.021026,0,-0.02103,0.002901
0,0.04895,0.088734,0,-0.08873,-0.00028
0,0.0487,0.0737,0,-0.0737,0.000728
0,0.04845,0.013988,0,-0.01399,0.000819
0,0.0482,0.050756,0,0.050756,-0.00013
0,0.04795,0.080425,0,0.080425,0.00054
0,0.0477,0.009595,0,0.009595,3.56E-05
0,0.04745,0.066737,0,-0.06674,0.001269
0,0.0472,0.054543,0,-0.05454,-9.88E-05
0,0.04695,0.052918,0,-0.05292,0.001515
0,0.0467,0.039519,0,-0.03952,-0.00026
0,0.04645,0.002884,0,-0.00288,0.003386
0,0.0462,0.050497,0,0.050497,-0.00282
0,0.04595,0.023612,0,0.023612,0.000349
0,0.0457,0.014449,0,0.014449,0.001623
0,0.04545,0.002113,0,-0.00211,0.002685
0,0.0452,0.036189,0,-0.03619,-0.00152
0,0.04495,0.016658,0,-0.01666,0.000151
0,0.0447,0.010247,0,0.010247,0.001065
0,0.04445,0.034855,0,-0.03486,0.0017
0,0.0442,0.094499,0,-0.0945,-0.00016
0,0.04395,0.091832,0,-0.09183,0.001076
0,0.0437,0.00325,0,0.00325,0.002611
0,0.04345,0.006633,0,0.006633,-0.00134
0,0.0432,0.011568,0,0.011568,0.000126
0,0.04295,0.036295,0,0.036295,0.002095
0,0.0427,0.013969,0,0.013969,-0.00051
0,0.04245,0.101624,0,-0.10162,0.000359
0,0.0422,0.038839,0,-0.03884,0.002547
0,0.04195,0.017673,0,0.017673,0.000928
0,0.0417,0.068625,0,0.068625,0.001289
0,0.04145,0.003477,0,-0.00348,-0.00206
0,0.0412,0.089054,0,0.089054,0.00082
0,0.04095,0.084171,0,-0.08417,-9.78E-05
0,0.0407,0.129621,0,0.129621,0.000164
0,0.04045,0.01203,0,0.01203,-0.00208
0,0.0402,0.024265,0,-0.02427,0.003776
