r,z,"v(r,z)",u_r,w_z,P
0,0.022,0,0,0,-0.00201
0,0.021868,18.2956,0,18.2956,0.003343
0,0.02178,29.6627,0,-29.6627,0.000544
0,0.021648,72.0667,0,-72.0667,0.0003
0,0.021538,7.21405,0,-7.21405,0.0003
0,0.021428,12.5321,0,-12.5321,0.000706
0,0.021318,27.4363,0,-27.4363,0.000955
0,0.021208,33.4816,0,-33.4816,9.48E-05
0,0.021098,61.8581,0,-61.8581,0.000684
0,0.020988,12.1112,0,-12.1112,0.000169
0,0.020878,15.438,0,15.438,0.000985
0,0.020768,37.1925,0,37.1925,0.001105
0,0.020658,25.0708,0,-25.0708,8.03E-05
0,0.020548,21.7784,0,21.7784,0.000379
0,0.020438,12.3049,0,-12.3049,1.91E-05
0,0.020328,26.1365,0,26.1365,0.000349
0,0.020218,10.0697,0,10.0697,0.000297
0,0.020108,29.2997,0,29.2997,3.75E-04
0,0.019998,4.74485,0,4.74485,-2.70E-05
0,0.019888,9.0884,0,9.0884,0.00074
0,0.019778,27.192,0,-27.192,-7.23E-06
0,0.019668,10.5971,0,-10.5971,0.000651
0,0.019558,20.3582,0,20.3582,0.000165
0,0.019448,48.8351,0,48.8351,0.000381
0,0.019338,39.8044,0,39.8044,0.000383
0,0.019228,63.8701,0,-63.8701,0.00027
0,0.019118,45.8923,0,-45.8923,0.000476
0,0.019008,10.8276,0,10.8276,0.000254
0,0.018898,41.1247,0,41.1247,0.000661
0,0.018788,103.151,0,103.151,-0.00085
0,0.018678,166.733,0,166.733,0.001472
0,0.018568,29.5967,0,-29.5967,-0.00117
0,0.018458,26.3805,0,26.3805,0.001772
0,0.018348,48.355,0,48.355,0.000741
0,0.018238,8.82495,0,-8.82495,-0.00039
0,0.018128,30.72,0,30.72,0.000972
0,0.018018,44.2543,0,44.2543,0.000136
0,0.017908,339.145,0,339.145,0.001086
0,0.017798,129.066,0,129.066,0.000311
0,0.017688,77.8335,0,77.8335,0.000181
0,0.017578,0.749869,0,0.749869,5.27E-05
0,0.017468,28.4361,0,28.4361,0.000663
0,0.017358,1.98297,0,-1.98297,-5.16E-05
0,0.017248,42.0483,0,-42.0483,0.000792
0,0.017138,55.9042,0,-55.9042,0.000147
0,0.017028,40.0731,0,-40.0731,0.000463
0,0.016918,22.9844,0,22.9844,0.000556
0,0.016808,44.0455,0,-44.0455,-0.00014
0,0.016698,14.5554,0,-14.5554,0.001186
0,0.016588,42.1437,0,42.1437,0.000196
0,0.016478,32.5263,0,-32.5263,-0.00015
0,0.016368,65.6326,0,-65.6326,0.000579
0,0.016258,25.4733,0,-25.4733,0.000813
0,0.016148,51.6928,0,-51.6928,0.000916
0,0.016038,130.254,0,-130.254,0.000637
0,0.015928,157.847,0,157.847,6.92E-05
0,0.015818,70.6696,0,70.6696,0.000526
0,0.015708,66.9627,0,-66.9627,0.001025
0,0.015598,4.8891,0,4.8891,-1.31E-05
0,0.015488,25.5069,0,-25.5069,0.002451
0,0.015378,64.8697,0,64.8697,0.001667
0,0.015268,75.5703,0,-75.5703,-0.00054
0,0.015158,12.4811,0,-12.4811,0.000593
0,0.015048,61.9219,0,-61.9219,0.000382
0,0.014938,614.164,0,-614.164,-0.00069
0,0.014828,24.4131,0,-24.4131,9.45E-05
0,0.014718,38.2888,0,-38.2888,0.000726
0,0.014608,117.608,0,-117.608,4.90E-05
0,0.014498,91.7412,0,91.7412,0.000719
0,0.014388,79.8156,0,79.8156,0.000547
0,0.014278,85.3575,0,85.3575,0.000189
0,0.014168,109.993,0,109.993,0.000447
0,0.014058,74.1349,0,74.1349,0.000388
0,0.013948,92.4643,0,92.4643,1.15E-05
0,0.013838,73.0646,0,73.0646,0.000889
0,0.013728,80.0483,0,80.0483,0.000369
0,0.013618,24.1115,0,-24.1115,0.000202
0,0.013508,95.4339,0,95.4339,0.000631
0,0.013398,146.303,0,-146.303,0.000146
0,0.013288,190.272,0,-190.272,0.000335
0,0.013178,8.93921,0,-8.93921,0.000751
0,0.013068,0.139976,0,-0.13998,0.000503
0,0.012958,2.23228,0,2.23228,0.000245
0,0.012848,61.9386,0,-61.9386,0.000523
0,0.012738,16.862,0,-16.862,3.99E-04
0,0.012628,19.3985,0,19.3985,0.000611
0,0.012518,44.7122,0,44.7122,0.000426
0,0.012408,17.573,0,-17.573,0.000145
0,0.012298,77.9087,0,77.9087,0.000296
0,0.012188,48.134,0,48.134,0.000534
0,0.012078,78.9069,0,78.9069,0.000451
0,0.011968,42.2179,0,42.2179,0.000609
0,0.011858,8.75485,0,-8.75485,0.000231
0,0.011748,89.6876,0,89.6876,0.000673
0,0.011638,4.13167,0,4.13167,0.000582
0,0.011528,30.9649,0,30.9649,9.72E-05
0,0.011418,68.0316,0,-68.0316,0.000899
0,0.011308,119.92,0,119.92,-0.00033
0,0.011198,15.6991,0,15.6991,0.000179
0,0.011088,24.928,0,24.928,0.000483
0,0.010978,8.11497,0,-8.11497,0.000346
0,0.010868,21.5579,0,21.5579,0.000611
0,0.010758,7.61096,0,7.61096,0.000316
0,0.010648,5.2269,0,5.2269,0.000453
0,0.010538,38.9156,0,38.9156,0.000497
0,0.010428,9.07597,0,9.07597,-5.82E-05
0,0.010318,146.898,0,146.898,0.000203
0,0.010208,516.706,0,-516.706,0.000464
0,0.010098,31.7774,0,31.7774,0.000838
0,0.009988,16.0705,0,-16.0705,0.000171
0,0.009878,3.26281,0,3.26281,0.000637
0,0.009768,15.4221,0,15.4221,-0.00017
0,0.009658,14.6188,0,14.6188,-3.73E-05
0,0.009548,5.89541,0,5.89541,0.000883
0,0.009438,20.6158,0,20.6158,-0.00056
0,0.009328,1.34591,0,1.34591,0.001794
0,0.009218,26.0694,0,26.0694,0.000455
0,0.009108,25.3966,0,25.3966,-0.00051
0,0.008998,36.5821,0,36.5821,0.000315
0,0.008888,13.5878,0,13.5878,-0.00111
0,0.008778,12.6091,0,12.6091,0.001443
0,0.008668,42.9582,0,42.9582,-0.00184
0,0.008558,61.1438,0,-61.1438,0.003332
0,0.008448,44.6825,0,-44.6825,0.000595
0,0.008338,70.2145,0,-70.2145,0.0044
0,0.008228,72.7887,0,72.7887,-0.00082
0,0.008118,3.98831,0,-3.98831,0.000713
0,0.008008,78.1288,0,-78.1288,0.001795
0,0.007898,11.8869,0,-11.8869,-0.00221
0,0.007788,67.7991,0,67.7991,0.00448
0,0.007678,20.526,0,20.526,-0.00515
0,0.007568,41.672,0,41.672,0.000435
0,0.007458,16.5255,0,-16.5255,-0.0008
0,0.007348,7.33127,0,-7.33127,-0.00185
0,0.007238,23.9107,0,-23.9107,-0.00018
0,0.007128,24.812,0,-24.812,-0.0013
0,0.007018,43.3735,0,-43.3735,0.002194
0,0.006908,46.4174,0,-46.4174,0.000427
0,0.006798,62.2155,0,-62.2155,0.000241
0,0.006688,47.8673,0,-47.8673,-0.00088
0,0.006578,28.7638,0,-28.7638,0.001114
0,0.006468,57.8352,0,-57.8352,0.000158
0,0.006358,37.3667,0,-37.3667,0.000598
0,0.006248,64.4787,0,-64.4787,-0.00092
0,0.006138,64.3844,0,-64.3844,-0.00017
0,0.006028,106.775,0,-106.775,-4.12E-06
0,0.005918,78.7819,0,-78.7819,0.001164
0,0.005808,18.0352,0,-18.0352,-0.0004
0,0.005698,25.0091,0,-25.0091,0.000604
0,0.005588,8.34633,0,-8.34633,-0.00166
0,0.005478,67.9723,0,67.9723,0.001003
0,0.005368,91.2313,0,91.2313,-0.00082
0,0.005258,43.344,0,43.344,0.001285
0,0.005148,81.1533,0,81.1533,0.000701
0,0.005038,97.2465,0,97.2465,-0.00073
0,0.004928,137.981,0,137.981,0.001904
0,0.004818,182.96,0,182.96,-0.00218
0,0.004708,44.1516,0,-44.1516,0.002776
0,0.004598,12.7413,0,12.7413,-0.00103
0,0.004488,122.926,0,-122.926,0.002578
0,0.004378,125.296,0,-125.296,-0.00065
0,0.004268,89.0433,0,-89.0433,0.000955
0,0.004158,130.231,0,-130.231,0.000325
0,0.004048,167.197,0,-167.197,0.001096
0,0.003938,185.462,0,-185.462,0.000283
0,0.003828,145.757,0,-145.757,0.0002
0,0.003718,121.936,0,-121.936,0.000425
