r,z,"v(r,z)",u_r,w_z,P
0,0.022,0,0,0,-0.00247
0,0.021868,4.6982,0,-4.6982,0.002
0,0.02178,29.9805,0,-29.9805,0.00177
0,0.021648,33.5568,0,33.5568,-0.00033
0,0.021538,3.00642,0,-3.00642,0.000118
0,0.021428,61.7191,0,61.7191,0.000462
0,0.021318,88.7524,0,88.7524,0.000547
0,0.021208,42.1403,0,-42.1403,0.001813
0,0.021098,64.0704,0,64.0704,8.41E-04
0,0.020988,6.96303,0,-6.96303,0.00186
0,0.020878,169.404,0,-169.404,-0.00083
0,0.020768,29.4043,0,29.4043,0.001117
0,0.020658,120.116,0,120.116,-0.00028
0,0.020548,11.1061,0,-11.1061,0.000522
0,0.020438,17.7297,0,-17.7297,0.000454
0,0.020328,143.557,0,-143.557,-0.00068
0,0.020218,59.6738,0,-59.6738,0.0022
0,0.020108,82.2416,0,-82.2416,-0.00056
0,0.019998,39.6086,0,39.6086,0.001089
0,0.019888,109.844,0,-109.844,0.000497
0,0.019778,49.4044,0,-49.4044,0.00026
0,0.019668,37.1364,0,-37.1364,0.000665
0,0.019558,21.8233,0,-21.8233,9.17E-06
0,0.019448,87.6937,0,-87.6937,0.000392
0,0.019338,52.0582,0,-52.0582,0.000373
0,0.019228,14.9896,0,14.9896,8.68E-04
0,0.019118,114.081,0,-114.081,0.000959
0,0.019008,97.5575,0,-97.5575,9.52E-05
0,0.018898,82.9651,0,-82.9651,0.001385
0,0.018788,169.808,0,-169.808,-0.00017
0,0.018678,4.10522,0,-4.10522,0.0011
0,0.018568,63.9932,0,63.9932,0.000599
0,0.018458,67.3998,0,-67.3998,0.000464
0,0.018348,32.2311,0,-32.2311,0.000511
0,0.018238,90.5228,0,-90.5228,0.000586
0,0.018128,6.05028,0,-6.05028,0.000846
0,0.018018,22.1698,0,22.1698,0.000261
0,0.017908,145.309,0,-145.309,0.000531
0,0.017798,23.1022,0,23.1022,-6.20E-05
0,0.017688,82.8443,0,82.8443,0.000785
0,0.017578,36.3839,0,-36.3839,-0.00029
0,0.017468,274.381,0,274.381,0.000409
0,0.017358,398.051,0,398.051,0.000547
0,0.017248,46.855,0,46.855,0.000632
0,0.017138,74.9402,0,-74.9402,0.000799
0,0.017028,114.031,0,-114.031,0.000298
0,0.016918,81.5605,0,-81.5605,5.99E-05
0,0.016808,59.7828,0,-59.7828,0.000392
0,0.016698,188.341,0,-188.341,0.001
0,0.016588,264.275,0,264.275,6.86E-05
0,0.016478,4.92608,0,-4.92608,0.001329
0,0.016368,50.2952,0,-50.2952,5.92E-05
0,0.016258,160.481,0,-160.481,0.001427
0,0.016148,23.6625,0,23.6625,-0.00034
0,0.016038,64.7072,0,-64.7072,0.000997
0,0.015928,22.4632,0,-22.4632,-7.26E-05
0,0.015818,37.467,0,37.467,0.00138
0,0.015708,0.65082,0,0.65082,7.47E-05
0,0.015598,85.4983,0,85.4983,0.001159
0,0.015488,56.2469,0,-56.2469,-5.95E-05
0,0.015378,49.2537,0,49.2537,0.000682
0,0.015268,60.0561,0,60.0561,0.000517
0,0.015158,5.08821,0,-5.08821,0.000389
0,0.015048,66.5289,0,66.5289,0.000561
0,0.014938,256.672,0,-256.672,0.000352
0,0.014828,123.72,0,123.72,0.000727
0,0.014718,174.867,0,174.867,0.000998
0,0.014608,63.9237,0,-63.9237,0.000262
0,0.014498,260.79,0,-260.79,0.000906
0,0.014388,191.266,0,-191.266,-0.00034
0,0.014278,48.6343,0,-48.6343,0.000624
0,0.014168,59.1239,0,59.1239,0.000583
0,0.014058,58.0241,0,58.0241,0.000876
0,0.013948,24.8645,0,24.8645,0.000181
0,0.013838,165.591,0,165.591,0.000237
0,0.013728,56.9157,0,-56.9157,0.000324
0,0.013618,245.949,0,-245.949,0.00055
0,0.013508,284.303,0,-284.303,5.42E-05
0,0.013398,75.8318,0,-75.8318,0.000497
0,0.013288,122.404,0,122.404,0.000541
0,0.013178,41.9531,0,41.9531,0.000597
0,0.013068,25.7278,0,-25.7278,0.00091
0,0.012958,55.4579,0,-55.4579,0.000811
0,0.012848,4.83603,0,-4.83603,0.000491
0,0.012738,70.7373,0,70.7373,0.000542
0,0.012628,100.679,0,100.679,0.000432
0,0.012518,133.297,0,133.297,0.00077
0,0.012408,27.9331,0,27.9331,0.000831
0,0.012298,20.3401,0,20.3401,0.001168
0,0.012188,8.40138,0,-8.40138,-0.00013
0,0.012078,8.31787,0,-8.31787,0.000962
0,0.011968,37.3281,0,-37.3281,0.000707
0,0.011858,44.3778,0,-44.3778,2.99E-05
0,0.011748,15.7157,0,-15.7157,0.000994
0,0.011638,120.634,0,120.634,1.28E-05
0,0.011528,27.1668,0,27.1668,0.001071
0,0.011418,79.3766,0,79.3766,3.15E-05
0,0.011308,42.8814,0,42.8814,0.00026
0,0.011198,112.607,0,-112.607,0.000495
0,0.011088,60.2122,0,60.2122,3.02E-04
0,0.010978,190.756,0,190.756,0.000966
0,0.010868,40.9399,0,40.9399,-0.00049
0,0.010758,65.3785,0,-65.3785,0.000644
0,0.010648,13.8563,0,-13.8563,0.000461
0,0.010538,85.4516,0,85.4516,0.000439
0,0.010428,205.775,0,205.775,0.000583
0,0.010318,249.082,0,249.082,-0.00013
0,0.010208,89.5209,0,-89.5209,0.00027
0,0.010098,79.3684,0,-79.3684,0.000264
0,0.009988,301.497,0,301.497,7.09E-05
0,0.009878,12.1521,0,-12.1521,0.000345
0,0.009768,6.50318,0,6.50318,0.000342
0,0.009658,68.1204,0,68.1204,0.000719
0,0.009548,148.851,0,148.851,0.000628
0,0.009438,298.858,0,-298.858,-7.36E-05
0,0.009328,335.401,0,-335.401,0.001351
0,0.009218,408.132,0,-408.132,0.000113
0,0.009108,432.787,0,-432.787,0.000488
0,0.008998,399.268,0,-399.268,0.000677
0,0.008888,267.426,0,267.426,0.000562
0,0.008778,80.8104,0,80.8104,0.000419
0,0.008668,70.5677,0,70.5677,0.000564
0,0.008558,154.809,0,154.809,0.00034
0,0.008448,14.5283,0,14.5283,0.00024
0,0.008338,92.1732,0,92.1732,0.000847
0,0.008228,56.9393,0,-56.9393,-4.22E-05
0,0.008118,13.281,0,-13.281,0.000656
0,0.008008,29.3062,0,-29.3062,0.000149
0,0.007898,145.182,0,-145.182,0.000755
0,0.007788,332.988,0,-332.988,6.49E-05
0,0.007678,300.484,0,-300.484,0.000482
0,0.007568,237.851,0,237.851,0.000879
0,0.007458,63.985,0,63.985,0.000362
0,0.007348,104.832,0,104.832,0.000804
0,0.007238,585.305,0,585.305,0.000471
0,0.007128,124.585,0,124.585,0.000386
0,0.007018,180.765,0,180.765,0.000538
0,0.006908,46.9302,0,46.9302,0.000505
0,0.006798,101.81,0,101.81,0.000259
0,0.006688,249.08,0,249.08,0.000141
0,0.006578,50.1413,0,50.1413,0.000147
0,0.006468,168.51,0,168.51,0.000379
0,0.006358,504.363,0,-504.363,0.001257
0,0.006248,499.566,0,499.566,0.000209
