r,z,"v(r,z)",u_r,w_z,P
0,0.022,0,0,0,0.000244
0,0.021868,139.775,0,139.775,0.000758
0,0.02178,51.8438,0,51.8438,-0.00021
0,0.021648,4.16441,0,-4.16441,-0.00024
0,0.021538,2.48855,0,2.48855,-0.00178
0,0.021428,7.01469,0,7.01469,0.001795
0,0.021318,10.0038,0,10.0038,-0.00024
0,0.021208,17.0342,0,17.0342,-0.00044
0,0.021098,35.2265,0,35.2265,0.001615
0,0.020988,8.40444,0,8.40444,0.000102
0,0.020878,39.934,0,-39.934,0.00104
0,0.020768,83.0355,0,-83.0355,-0.00029
0,0.020658,91.1013,0,-91.1013,0.000356
0,0.020548,78.0723,0,-78.0723,5.89E-05
0,0.020438,2.62242,0,-2.62242,0.000717
0,0.020328,1.39942,0,-1.39942,-6.83E-05
0,0.020218,7.43443,0,-7.43443,0.000539
0,0.020108,40.0468,0,-40.0468,0.000115
0,0.019998,30.5194,0,-30.5194,0.000144
0,0.019888,31.9522,0,-31.9522,0.001057
0,0.019778,26.0112,0,-26.0112,-0.00037
0,0.019668,1.92965,0,1.92965,0.000183
0,0.019558,3.85597,0,-3.85597,0.000223
0,0.019448,27.028,0,-27.028,0.000892
0,0.019338,5.34101,0,5.34101,-0.00033
0,0.019228,33.2981,0,-33.2981,0.000425
0,0.019118,19.2405,0,19.2405,0.000244
0,0.019008,48.3465,0,-48.3465,0.000115
0,0.018898,6.71637,0,6.71637,0.000927
0,0.018788,126.096,0,-126.096,-8.38E-05
0,0.018678,18.5308,0,-18.5308,0.000139
0,0.018568,11.7183,0,11.7183,0.00062
0,0.018458,35.0535,0,35.0535,-0.00025
0,0.018348,85.9993,0,-85.9993,0.000971
0,0.018238,59.1523,0,59.1523,0.000421
0,0.018128,39.5155,0,-39.5155,0.001402
0,0.018018,0.632663,0,-0.63266,-0.00075
0,0.017908,25.225,0,25.225,0.001296
0,0.017798,54.5278,0,-54.5278,-0.00018
0,0.017688,85.9187,0,-85.9187,0.001102
0,0.017578,127.738,0,-127.738,-1.21E-05
0,0.017468,1.52565,0,-1.52565,-5.41E-05
0,0.017358,4.10319,0,-4.10319,0.000135
0,0.017248,29.2772,0,29.2772,-0.0004
0,0.017138,8.55347,0,8.55347,0.002209
0,0.017028,3.93838,0,3.93838,0.000403
