r,z,"v(r,z)",u_r,w_z,P
0,0.022,0,0,0,0.000563
0,0.021868,28.8942,0,28.8942,0.000278
0,0.02178,7.51011,0,-7.51011,0.000472
0,0.021648,2.98748,0,2.98748,0.000432
0,0.021538,22.3448,0,-22.3448,0.00045
0,0.021428,30.7524,0,30.7524,0.000552
0,0.021318,49.614,0,-49.614,0.000307
0,0.021208,2.66167,0,2.66167,0.000424
0,0.021098,9.52578,0,-9.52578,9.36E-05
0,0.020988,2.229,0,2.229,0.000231
0,0.020878,20.8732,0,20.8732,0.000451
0,0.020768,3.0894,0,3.0894,0.000466
0,0.020658,7.99744,0,-7.99744,0.000177
0,0.020548,4.24482,0,4.24482,0.000541
0,0.020438,5.6792,0,5.6792,0.000206
0,0.020328,1.43473,0,1.43473,0.000455
0,0.020218,5.80836,0,-5.80836,0.000466
0,0.020108,11.7919,0,11.7919,0.000348
0,0.019998,13.0882,0,13.0882,0.000277
0,0.019888,2.32073,0,2.32073,0.000329
0,0.019778,7.64113,0,-7.64113,0.000526
0,0.019668,7.61118,0,-7.61118,0.000304
0,0.019558,2.86891,0,-2.86891,0.000412
0,0.019448,8.72463,0,8.72463,0.00031
0,0.019338,12.9322,0,12.9322,0.000361
0,0.019228,7.43012,0,-7.43012,0.000393
0,0.019118,4.8416,0,4.8416,0.000192
0,0.019008,17.4872,0,-17.4872,0.000415
0,0.018898,14.7308,0,-14.7308,0.000397
0,0.018788,3.66453,0,-3.66453,0.000209
0,0.018678,17.8366,0,17.8366,0.000495
0,0.018568,5.68017,0,-5.68017,0.000262
0,0.018458,9.75272,0,9.75272,0.000321
0,0.018348,24.9294,0,24.9294,0.000435
0,0.018238,18.4213,0,18.4213,0.000261
0,0.018128,31.3156,0,31.3156,0.000179
0,0.018018,3.28388,0,3.28388,0.000254
0,0.017908,11.6287,0,11.6287,0.000169
0,0.017798,14.27,0,14.27,0.000442
0,0.017688,12.5545,0,12.5545,0.000444
0,0.017578,15.6958,0,15.6958,0.000344
0,0.017468,5.80693,0,5.80693,0.000468
0,0.017358,11.477,0,-11.477,0.000377
0,0.017248,5.39111,0,-5.39111,0.000314
0,0.017138,2.43808,0,-2.43808,0.000562
0,0.017028,5.37339,0,5.37339,0.000221
0,0.016918,21.2993,0,21.2993,0.000395
0,0.016808,7.73883,0,7.73883,0.000594
0,0.016698,9.59049,0,9.59049,0.00039
0,0.016588,11.2118,0,11.2118,0.000386
0,0.016478,2.06557,0,2.06557,0.000432
0,0.016368,18.3239,0,18.3239,0.000487
0,0.016258,8.02324,0,8.02324,0.000317
0,0.016148,8.68383,0,-8.68383,0.000559
0,0.016038,20.6273,0,-20.6273,0.00019
0,0.015928,3.38942,0,3.38942,0.000645
0,0.015818,6.69456,0,6.69456,0.000328
0,0.015708,14.7259,0,14.7259,0.000277
0,0.015598,2.69917,0,2.69917,0.000713
0,0.015488,0.07811,0,0.07811,0.000171
0,0.015378,0.73953,0,0.73953,0.000698
0,0.015268,11.7248,0,11.7248,1.22E-05
0,0.015158,11.4291,0,11.4291,0.000423
0,0.015048,1.62905,0,-1.62905,0.000177
0,0.014938,1.72231,0,-1.72231,4.64E-05
0,0.014828,11.5708,0,11.5708,0.000752
0,0.014718,5.75079,0,-5.75079,0.000424
0,0.014608,135.274,0,135.274,0.000312
0,0.014498,48.9023,0,48.9023,0.000194
0,0.014388,14.6845,0,-14.6845,0.000584
0,0.014278,17.4364,0,-17.4364,-0.00013
0,0.014168,26.8853,0,-26.8853,0.000327
0,0.014058,29.7325,0,-29.7325,0.000473
0,0.013948,16.0879,0,-16.0879,0.000364
0,0.013838,19.0377,0,-19.0377,0.000372
0,0.013728,36.8192,0,-36.8192,-0.00096
0,0.013618,35.6086,0,-35.6086,0.001049
0,0.013508,40.4791,0,-40.4791,0.000119
0,0.013398,18.9543,0,-18.9543,0.000846
0,0.013288,25.2521,0,-25.2521,0.000539
0,0.013178,25.9487,0,25.9487,0.00031
0,0.013068,9.63113,0,9.63113,0.000387
