r,z,"v(r,z)",u_r,w_z,P
0,0.022,0,0,0,-0.00256
0,0.021868,9.54125,0,9.54125,0.001056
0,0.02178,134.204,0,-134.204,0.001123
0,0.021648,100.772,0,-100.772,-0.00063
0,0.021538,78.2555,0,-78.2555,-0.00239
0,0.021428,3.47148,0,-3.47148,0.000686
0,0.021318,197.825,0,-197.825,-0.00097
0,0.021208,163.306,0,-163.306,0.000601
0,0.021098,6.20731,0,-6.20731,8.43E-04
0,0.020988,5.10338,0,-5.10338,-0.00011
0,0.020878,5.16739,0,-5.16739,-0.00017
0,0.020768,57.0612,0,-57.0612,0.000342
0,0.020658,107.758,0,-107.758,0.000527
0,0.020548,30.483,0,30.483,-9.92E-05
0,0.020438,180.524,0,-180.524,-0.00159
0,0.020328,89.0771,0,-89.0771,0.001011
0,0.020218,57.2654,0,-57.2654,0.000574
0,0.020108,24.6804,0,24.6804,-0.00119
0,0.019998,30.3475,0,-30.3475,3.69E-05
0,0.019888,101.6,0,-101.6,0.000689
0,0.019778,44.9749,0,-44.9749,-0.00105
0,0.019668,30.9851,0,30.9851,6.70E-04
0,0.019558,1.05299,0,1.05299,-0.00169
0,0.019448,7.4024,0,-7.4024,0.000307
0,0.019338,23.357,0,23.357,0.001778
0,0.019228,8.49464,0,-8.49464,0.000149
0,0.019118,3.60306,0,-3.60306,0.001461
0,0.019008,12.7933,0,-12.7933,-0.00135
0,0.018898,25.8125,0,-25.8125,0.00132
0,0.018788,23.2071,0,-23.2071,-0.00106
0,0.018678,18.5094,0,-18.5094,0.002559
0,0.018568,32.0789,0,-32.0789,-0.00017
0,0.018458,6.0423,0,6.0423,-3.79E-05
0,0.018348,40.9151,0,40.9151,-0.00018
0,0.018238,20.7193,0,20.7193,-0.00052
0,0.018128,15.4677,0,-15.4677,0.000304
0,0.018018,7.78057,0,7.78057,0.001605
0,0.017908,1.54246,0,1.54246,0.000131
0,0.017798,22.7794,0,-22.7794,0.000513
0,0.017688,51.458,0,51.458,-0.00056
0,0.017578,12.3704,0,12.3704,0.000204
0,0.017468,3.9041,0,-3.9041,8.22E-05
0,0.017358,56.3369,0,-56.3369,0.000103
0,0.017248,54.5667,0,-54.5667,-0.00022
0,0.017138,22.6646,0,-22.6646,0.001065
