r,z,"v(r,z)",u_r,w_z,P
0,0.022,0,0,0,0.000539
0,0.021868,17.0609,0,17.0609,0.00039
0,0.02178,17.0912,0,17.0912,0.000501
0,0.021648,4.24513,0,4.24513,0.000535
0,0.021538,3.29349,0,-3.29349,0.000384
0,0.021428,8.89378,0,8.89378,0.000771
0,0.021318,7.91856,0,7.91856,0.000336
0,0.021208,41.5075,0,-41.5075,0.000536
0,0.021098,1.47488,0,-1.47488,0.000477
0,0.020988,5.88946,0,-5.88946,0.000576
0,0.020878,11.9226,0,11.9226,0.000399
0,0.020768,9.24875,0,9.24875,0.000563
0,0.020658,15.6327,0,15.6327,0.000469
0,0.020548,1.05279,0,1.05279,0.000532
0,0.020438,22.35,0,22.35,0.000283
0,0.020328,76.8936,0,-76.8936,0.000454
0,0.020218,10.8753,0,10.8753,0.000298
0,0.020108,34.0905,0,-34.0905,0.000464
0,0.019998,24.7703,0,24.7703,0.000359
0,0.019888,41.0277,0,41.0277,0.000543
0,0.019778,266.594,0,-266.594,0.000328
0,0.019668,0.673116,0,0.673116,0.000579
0,0.019558,10.7714,0,10.7714,0.000461
0,0.019448,25.9837,0,-25.9837,0.000729
0,0.019338,33.2664,0,-33.2664,0.000253
0,0.019228,34.1132,0,34.1132,0.000849
0,0.019118,70.8487,0,70.8487,0.000662
0,0.019008,96.2776,0,96.2776,0.00033
0,0.018898,54.0154,0,54.0154,0.000535
0,0.018788,18.2922,0,18.2922,0.000369
0,0.018678,2.38637,0,-2.38637,0.000812
0,0.018568,3.94517,0,-3.94517,-0.0002
0,0.018458,9.73934,0,9.73934,0.000605
0,0.018348,32.7809,0,32.7809,0.000253
0,0.018238,15.5457,0,15.5457,0.00052
0,0.018128,12.5181,0,12.5181,0.000617
0,0.018018,8.6693,0,8.6693,0.000192
0,0.017908,7.75464,0,-7.75464,0.000499
0,0.017798,60.2574,0,60.2574,0.000344
0,0.017688,22.797,0,-22.797,0.000481
0,0.017578,18.7899,0,18.7899,0.000517
0,0.017468,16.773,0,-16.773,0.000431
0,0.017358,0.529992,0,-0.52999,0.000562
0,0.017248,7.97085,0,-7.97085,0.000533
0,0.017138,4.74005,0,-4.74005,5.18E-04
0,0.017028,33.933,0,-33.933,0.000419
0,0.016918,14.5633,0,14.5633,0.000289
0,0.016808,30.8989,0,-30.8989,0.000435
0,0.016698,10.9706,0,10.9706,0.000557
0,0.016588,24.3312,0,24.3312,0.000563
0,0.016478,38.9576,0,38.9576,0.000464
0,0.016368,20.3732,0,-20.3732,0.000461
0,0.016258,2.37166,0,2.37166,0.000523
0,0.016148,3.29138,0,-3.29138,0.000302
0,0.016038,13.9746,0,-13.9746,0.000617
0,0.015928,29.4871,0,-29.4871,0.000404
0,0.015818,2.88251,0,-2.88251,0.000417
0,0.015708,8.41159,0,8.41159,0.000523
0,0.015598,6.94317,0,6.94317,0.000278
0,0.015488,12.964,0,12.964,0.000566
0,0.015378,0.348583,0,0.348583,0.000415
0,0.015268,1.3052,0,1.3052,0.000408
0,0.015158,4.17441,0,4.17441,0.000423
0,0.015048,20.4683,0,20.4683,0.000433
0,0.014938,38.208,0,-38.208,0.000561
0,0.014828,39.0612,0,39.0612,0.000458
0,0.014718,116.774,0,-116.774,0.000397
0,0.014608,32.1451,0,32.1451,0.000726
0,0.014498,1.04019,0,1.04019,0.00052
0,0.014388,30.1077,0,30.1077,0.0006
0,0.014278,6.77375,0,6.77375,0.000428
0,0.014168,2.20247,0,-2.20247,0.000328
0,0.014058,11.7471,0,11.7471,0.000785
0,0.013948,0.008232,0,-0.00823,0.000457
0,0.013838,7.85173,0,-7.85173,0.000427
0,0.013728,5.49755,0,5.49755,0.00046
0,0.013618,2.0461,0,-2.0461,0.000543
0,0.013508,0.927745,0,0.927745,0.000539
0,0.013398,2.08492,0,-2.08492,0.000348
0,0.013288,3.20577,0,3.20577,0.000679
0,0.013178,2.84258,0,-2.84258,0.000281
0,0.013068,41.0513,0,-41.0513,0.000445
0,0.012958,4.40331,0,-4.40331,0.000483
0,0.012848,22.3188,0,22.3188,0.000446
0,0.012738,49.6063,0,-49.6063,0.000571
0,0.012628,28.3914,0,28.3914,0.000489
0,0.012518,4.74593,0,-4.74593,0.00038
0,0.012408,1.41929,0,-1.41929,0.000431
0,0.012298,7.57195,0,-7.57195,0.000514
0,0.012188,11.1278,0,11.1278,0.000137
0,0.012078,15.2409,0,-15.2409,0.000675
0,0.011968,10.0438,0,10.0438,0.000618
0,0.011858,34.4899,0,34.4899,0.000298
0,0.011748,13.5899,0,13.5899,0.00087
0,0.011638,5.53614,0,-5.53614,0.000339
0,0.011528,5.26814,0,5.26814,0.000928
0,0.011418,0.09531,0,-0.09531,0.000106
0,0.011308,4.6427,0,-4.6427,0.000987
0,0.011198,8.08108,0,-8.08108,5.14E-05
0,0.011088,4.3929,0,-4.3929,0.000754
0,0.010978,1.98323,0,-1.98323,0.000495
0,0.010868,10.3013,0,-10.3013,0.000855
0,0.010758,10.238,0,-10.238,0.000367
0,0.010648,16.5096,0,-16.5096,0.000445
0,0.010538,3.26976,0,-3.26976,0.000533
0,0.010428,19.49,0,19.49,0.000325
0,0.010318,13.8568,0,-13.8568,0.000764
0,0.010208,15.8037,0,-15.8037,0.000309
0,0.010098,8.30585,0,8.30585,0.000537
