r,z,"v(r,z)",u_r,w_z,P
0,0.022,0,0,0,0.000697
0,0.021868,53.2545,0,53.2545,0.00076
0,0.02178,6.8401,0,6.8401,0.000318
0,0.021648,33.9954,0,-33.9954,0.00073
0,0.021538,36.3163,0,-36.3163,0.000432
0,0.021428,6.32127,0,-6.32127,0.000531
0,0.021318,8.77794,0,-8.77794,-0.00019
0,0.021208,16.5157,0,-16.5157,0.000456
0,0.021098,39.5763,0,-39.5763,0.000472
0,0.020988,30.9364,0,-30.9364,0.000566
0,0.020878,15.9613,0,-15.9613,0.000368
0,0.020768,49.4294,0,-49.4294,0.000548
0,0.020658,25.9366,0,25.9366,0.000238
0,0.020548,14.1157,0,-14.1157,0.000745
0,0.020438,1.6005,0,1.6005,0.000144
0,0.020328,8.81206,0,8.81206,0.000513
0,0.020218,43.6353,0,43.6353,0.000628
0,0.020108,7.67296,0,7.67296,0.000349
0,0.019998,48.685,0,-48.685,0.000512
0,0.019888,6.50819,0,-6.50819,0.00035
0,0.019778,11.5626,0,-11.5626,0.000558
0,0.019668,104.517,0,104.517,0.000497
0,0.019558,42.6519,0,42.6519,0.000668
0,0.019448,23.9411,0,23.9411,0.00107
0,0.019338,73.4008,0,73.4008,0.000212
0,0.019228,2.36229,0,-2.36229,0.000482
0,0.019118,4.38196,0,4.38196,0.000463
0,0.019008,59.0224,0,59.0224,0.00033
0,0.018898,10.5604,0,-10.5604,0.000601
0,0.018788,19.6614,0,-19.6614,0.000269
0,0.018678,17.4302,0,-17.4302,0.000524
0,0.018568,12.6528,0,12.6528,0.00043
0,0.018458,19.673,0,-19.673,0.00034
0,0.018348,1.21848,0,1.21848,0.000654
0,0.018238,12.8891,0,-12.8891,0.000449
0,0.018128,5.80966,0,-5.80966,0.000454
0,0.018018,114.053,0,114.053,0.000452
0,0.017908,28.6251,0,28.6251,0.00071
0,0.017798,18.9838,0,-18.9838,0.000358
0,0.017688,16.9336,0,-16.9336,0.000458
0,0.017578,20.105,0,-20.105,0.000447
0,0.017468,9.42121,0,-9.42121,0.00046
0,0.017358,27.6187,0,27.6187,0.000675
0,0.017248,127.266,0,-127.266,0.000298
0,0.017138,227.048,0,227.048,0.000501
0,0.017028,40.9518,0,-40.9518,0.000513
0,0.016918,17.9358,0,-17.9358,0.000329
0,0.016808,16.5107,0,-16.5107,0.000628
0,0.016698,9.0167,0,-9.0167,0.000389
0,0.016588,25.7386,0,-25.7386,0.000464
0,0.016478,69.5108,0,69.5108,0.000311
0,0.016368,46.6877,0,-46.6877,0.000886
0,0.016258,39.1903,0,39.1903,-8.21E-06
0,0.016148,28.8449,0,28.8449,0.000983
0,0.016038,18.7886,0,18.7886,0.000444
0,0.015928,29.2317,0,29.2317,0.000439
0,0.015818,4.40516,0,4.40516,0.000381
0,0.015708,8.00447,0,8.00447,0.00041
0,0.015598,14.0237,0,14.0237,0.000511
0,0.015488,24.3833,0,-24.3833,0.000394
0,0.015378,6.86623,0,-6.86623,0.000677
0,0.015268,0.097684,0,-0.09768,0.000347
0,0.015158,22.0348,0,-22.0348,0.000561
0,0.015048,0.803193,0,-0.80319,0.000432
0,0.014938,34.5629,0,34.5629,0.000466
0,0.014828,1.01522,0,1.01522,0.000357
0,0.014718,16.3752,0,16.3752,0.00039
0,0.014608,90.7623,0,90.7623,0.000182
0,0.014498,2.72824,0,-2.72824,0.000466
0,0.014388,49.6776,0,-49.6776,0.000567
0,0.014278,11.6321,0,11.6321,0.000333
0,0.014168,2.45205,0,2.45205,0.000505
0,0.014058,15.8054,0,15.8054,0.000419
0,0.013948,21.4767,0,21.4767,0.000482
0,0.013838,15.7591,0,15.7591,0.00053
0,0.013728,1.25275,0,-1.25275,0.000415
0,0.013618,24.5234,0,24.5234,0.000567
0,0.013508,23.1262,0,23.1262,0.000181
0,0.013398,57.9015,0,57.9015,0.000667
0,0.013288,33.1031,0,33.1031,0.000613
0,0.013178,13.8574,0,13.8574,0.000308
0,0.013068,8.49592,0,8.49592,0.000583
0,0.012958,9.9171,0,9.9171,0.000458
0,0.012848,5.01403,0,5.01403,0.000591
0,0.012738,17.552,0,17.552,0.000629
0,0.012628,23.2838,0,23.2838,0.000522
0,0.012518,139.27,0,139.27,0.00042
0,0.012408,19.9544,0,-19.9544,0.000417
0,0.012298,29.6631,0,-29.6631,0.000435
0,0.012188,83.825,0,-83.825,0.000483
0,0.012078,13.0091,0,-13.0091,0.00043
0,0.011968,108.438,0,108.438,0.00039
0,0.011858,3.06022,0,-3.06022,0.000467
0,0.011748,7.62634,0,7.62634,0.000237
0,0.011638,1.66768,0,-1.66768,0.000955
0,0.011528,58.4555,0,-58.4555,-9.97E-05
0,0.011418,121.632,0,-121.632,5.48E-05
0,0.011308,66.7865,0,-66.7865,0.000988
0,0.011198,16.6911,0,16.6911,-8.99E-05
0,0.011088,1.20128,0,1.20128,0.000666
0,0.010978,19.5733,0,19.5733,0.000277
0,0.010868,125.95,0,-125.95,0.00086
0,0.010758,17.1235,0,-17.1235,0.000406
0,0.010648,38.5372,0,-38.5372,0.000469
0,0.010538,72.0935,0,72.0935,0.000595
0,0.010428,17.412,0,17.412,0.000596
0,0.010318,25.6318,0,25.6318,0.000432
0,0.010208,27.246,0,27.246,0.000617
0,0.010098,66.2126,0,66.2126,0.000442
0,0.009988,52.2245,0,52.2245,0.000521
0,0.009878,25.2968,0,25.2968,0.000366
0,0.009768,17.5679,0,17.5679,0.000817
0,0.009658,5.32153,0,5.32153,0.000304
0,0.009548,24.5094,0,-24.5094,0.000499
0,0.009438,9.20517,0,-9.20517,0.000463
0,0.009328,33.3459,0,-33.3459,0.000501
0,0.009218,57.6018,0,57.6018,0.00033
0,0.009108,79.5305,0,-79.5305,0.000595
0,0.008998,19.3469,0,19.3469,0.00054
0,0.008888,23.4401,0,-23.4401,0.000462
0,0.008778,8.20574,0,8.20574,0.000342
0,0.008668,39.9672,0,39.9672,0.000481
0,0.008558,10.2949,0,-10.2949,0.000633
0,0.008448,7.42771,0,-7.42771,0.000544
0,0.008338,10.8799,0,10.8799,0.000658
0,0.008228,0.099255,0,-0.09925,0.000394
0,0.008118,13.2937,0,-13.2937,0.000568
0,0.008008,32.6362,0,32.6362,0.000316
0,0.007898,65.3967,0,-65.3967,0.00055
0,0.007788,130.367,0,-130.367,0.000446
0,0.007678,17.9859,0,17.9859,0.000431
0,0.007568,3.17374,0,-3.17374,0.000515
0,0.007458,10.9239,0,-10.9239,0.000703
0,0.007348,63.8117,0,-63.8117,0.000359
0,0.007238,43.3863,0,43.3863,0.000498
0,0.007128,97.9682,0,-97.9682,0.000662
0,0.007018,81.3966,0,-81.3966,0.000181
0,0.006908,70.0459,0,-70.0459,0.000722
0,0.006798,7.8995,0,7.8995,0.000257
0,0.006688,0.219685,0,-0.21969,0.000643
0,0.006578,2.91373,0,2.91373,0.000279
0,0.006468,32.3563,0,32.3563,0.0007
0,0.006358,10.257,0,10.257,0.000352
0,0.006248,59.9546,0,-59.9546,0.000934
0,0.006138,26.4171,0,26.4171,0.000821
0,0.006028,15.4353,0,-15.4353,4.14E-05
0,0.005918,419.434,0,419.434,0.00055
0,0.005808,131.497,0,131.497,0.000337
0,0.005698,181.175,0,-181.175,0.000514
0,0.005588,126.119,0,-126.119,0.000505
0,0.005478,291.569,0,-291.569,0.000829
0,0.005368,55.5803,0,55.5803,0.000374
0,0.005258,88.1561,0,88.1561,0.000234
0,0.005148,47.007,0,47.007,0.000656
0,0.005038,58.3098,0,58.3098,0.000353
0,0.004928,187.644,0,-187.644,0.000417
0,0.004818,161.434,0,161.434,0.000551
0,0.004708,474.988,0,-474.988,0.000385
0,0.004598,69.9095,0,-69.9095,0.000605
0,0.004488,84.5671,0,-84.5671,0.000528
0,0.004378,93.0743,0,-93.0743,0.000349
0,0.004268,60.6758,0,-60.6758,0.000779
0,0.004158,200.548,0,-200.548,0.000833
0,0.004048,118.036,0,-118.036,0.000686
0,0.003938,242.05,0,-242.05,0.000293
0,0.003828,54.6843,0,-54.6843,0.000762
0,0.003718,14.1388,0,14.1388,0.00064
0,0.003608,197.75,0,-197.75,0.000447
0,0.003498,152.308,0,152.308,0.000321
0,0.003388,22.6311,0,22.6311,0.000703
0,0.003278,112.641,0,112.641,0.000164
0,0.003168,75.1684,0,75.1684,0.00062
0,0.003058,71.1707,0,71.1707,0.000481
0,0.002948,84.1675,0,-84.1675,0.00051
0,0.002838,11.0469,0,-11.0469,0.000509
0,0.002728,57.8468,0,57.8468,0.000626
0,0.002618,17.5791,0,17.5791,0.000404
0,0.002508,17.3191,0,17.3191,0.000569
0,0.002398,61.9311,0,61.9311,0.00058
0,0.002288,33.3193,0,-33.3193,0.000621
0,0.002178,19.9381,0,19.9381,9.89E-05
0,0.002068,157.991,0,-157.991,0.000593
0,0.001958,20.421,0,20.421,0.00053
0,0.001848,24.2545,0,24.2545,0.000463
0,0.001738,112.749,0,112.749,0.000615
0,0.001628,217.928,0,217.928,0.000275
0,0.001518,13.4865,0,-13.4865,0.000674
0,0.001408,123.505,0,123.505,0.000203
0,0.001298,76.8087,0,-76.8087,0.000531
0,0.001188,110.859,0,-110.859,0.000136
0,0.001078,9.32597,0,-9.32597,0.000881
0,0.000968,5.74742,0,5.74742,8.69E-05
0,0.000858,95.9726,0,-95.9726,0.000546
0,0.000748,80.9142,0,-80.9142,0.000307
0,0.000638,49.4361,0,-49.4361,0.000603
0,0.000528,8.40082,0,8.40082,0.000285
0,0.000418,14.8158,0,14.8158,0.000482
0,0.000308,2.25751,0,-2.25751,0.000452
0,0.000198,40.6903,0,-40.6903,0.000225
0,0.000088,71.1891,0,-71.1891,0.000635
0,0,2.35,0,2.35,0.001198
0.000055,0.022,345.32,345.32,0,0.00058
0.000055,0.021868,194.359,188.914,45.6817,0.000598
0.000055,0.02178,161.807,161.794,-2.05584,0.000344
0.000055,0.021648,215.445,213.402,-29.6055,0.000615
0.000055,0.021538,243.035,241.096,-30.6395,0.000428
0.000055,0.021428,97.4219,97.0325,-8.70136,0.000468
0.000055,0.021318,33.2359,32.0959,-8.63017,0.000174
0.000055,0.021208,93.8208,-92.1787,-17.4764,0.000475
0.000055,0.021098,214.156,211.758,-31.9583,0.000463
0.000055,0.020988,280.058,278.574,-28.7858,0.000491
0.000055,0.020878,13.122,-5.07664,-12.1002,0.000416
0.000055,0.020768,389.524,-389.309,-12.9471,0.000505
0.000055,0.020658,178.85,-178.382,12.9279,0.000354
0.000055,0.020548,27.7064,27.6703,-1.41277,0.000621
0.000055,0.020438,470.316,-470.289,5.04895,0.000329
0.000055,0.020328,307.958,-307.818,9.26231,0.000468
0.000055,0.020218,42.0633,36.7167,20.5233,0.00059
0.000055,0.020108,159.303,159.061,-8.77388,0.000419
0.000055,0.019998,28.491,18.812,-21.3973,0.000499
0.000055,0.019888,107.611,107.497,-4.94891,0.000408
0.000055,0.019778,209.332,208.04,23.223,0.000527
0.000055,0.019668,355.598,342.284,96.3929,0.000496
0.000055,0.019558,445.179,442.948,44.5197,0.000551
0.000055,0.019448,548.613,547.842,29.0698,0.000732
0.000055,0.019338,479.676,477.807,42.3026,0.000345
0.000055,0.019228,191.611,191.467,-7.42152,0.000538
0.000055,0.019118,155.819,155.819,0.019752,0.000475
0.000055,0.019008,97.8109,93.6397,28.2592,0.000382
0.000055,0.018898,12.2848,-5.33254,-11.0671,0.000575
0.000055,0.018788,18.8778,-7.40392,-17.3653,0.000362
0.000055,0.018678,131.75,-131.331,-10.5064,0.000509
0.000055,0.018568,131.071,-130.99,4.59416,0.000456
0.000055,0.018458,100.765,-98.3611,-21.8801,0.000413
0.000055,0.018348,280.913,-280.464,-15.8791,0.000582
0.000055,0.018238,198.42,-198.133,-10.678,0.000432
0.000055,0.018128,182.269,182.24,-3.29181,0.000503
0.000055,0.018018,693.541,691.546,52.5654,0.000475
0.000055,0.017908,536.923,536.832,9.90598,0.000591
