r,z,"v(r,z)",u_r,w_z,P
0,0.1,0,0,0,9.81054
0,0.0994,1.40981,0,-1.40981,21.9464
0,0.0989,1.13751,0,-1.13751,6.49305
0,0.0984,5.07264,0,5.07264,-9.63162
0,0.0979,4.60548,0,4.60548,-16.9034
0,0.0974,5.01655,0,-5.01655,11.5231
0,0.0969,4.17466,0,4.17466,1.7927
0,0.0964,2.16342,0,-2.16342,7.81458
0,0.0959,6.0505,0,6.0505,-14.2688
0,0.0954,1.32742,0,1.32742,-2.09586
0,0.0949,3.80058,0,3.80058,7.47686
0,0.0944,3.03574,0,3.03574,-4.40959
0,0.0939,3.09478,0,3.09478,-5.15621
0,0.0934,2.85039,0,2.85039,-1.46269
0,0.0929,2.50602,0,2.50602,-4.18752
0,0.0924,3.64787,0,3.64787,-0.528716
0,0.0919,0.311965,0,0.311965,1.90456
0,0.0914,2.96131,0,2.96131,0.219396
0,0.0909,1.97825,0,1.97825,0.153917
0,0.0904,2.49588,0,2.49588,-0.357777
0,0.0899,2.61488,0,2.61488,-0.450208
0,0.0894,2.33893,0,2.33893,-0.273
0,0.0889,2.48158,0,2.48158,-0.318786
0,0.0884,2.4835,0,2.4835,-0.320529
0,0.0879,2.35133,0,2.35133,-0.312945
0,0.0874,2.52404,0,2.52404,-0.323674
0,0.0869,2.38426,0,2.38426,-0.318973
0,0.0864,2.4599,0,2.4599,-0.331613
0,0.0859,2.44216,0,2.44216,-0.328306
0,0.0854,2.44344,0,2.44344,-0.321024
0,0.0849,2.42718,0,2.42718,-0.329571
0,0.0844,2.46397,0,2.46397,-0.323719
0,0.0839,2.41661,0,2.41661,-0.322785
0,0.0834,2.4562,0,2.4562,-0.324394
0,0.0829,2.43003,0,2.43003,-0.318419
0,0.0824,2.44071,0,2.44071,-0.315922
0,0.0819,2.43348,0,2.43348,-0.31367
0,0.0814,2.43776,0,2.43776,-0.309
0,0.0809,2.4302,0,2.4302,-0.305119
0,0.0804,2.43254,0,2.43254,-0.302469
0,0.0799,2.43177,0,2.43177,-0.296503
0,0.0794,2.42463,0,2.42463,-0.293211
