r,z,"v(r,z)",u_r,w_z,P
0,0.1,0,0,0,-67.5152
0,0.0994,111.058,0,-111.058,-55.2095
0,0.0989,70.9913,0,70.9913,332.56
0,0.0984,167.901,0,-167.901,-678.233
0,0.0979,57.316,0,57.316,860.981
0,0.0974,137.397,0,-137.397,-1625.28
0,0.0969,31.5112,0,-31.5112,662.105
0,0.0964,155.672,0,-155.672,-1355.36
0,0.0959,166.555,0,-166.555,58.8067
0,0.0954,88.1106,0,-88.1106,494.93
0,0.0949,104.64,0,-104.64,447.511
0,0.0944,43.7985,0,-43.7985,-148.298
0,0.0939,46.9376,0,46.9376,-200.787
0,0.0934,59.1269,0,59.1269,1143.01
0,0.0929,31.6838,0,31.6838,651.961
0,0.0924,43.431,0,43.431,-175.416
0,0.0919,0.832421,0,0.832421,552.952
0,0.0914,24.2488,0,-24.2488,-101.162
0,0.0909,3.48196,0,3.48196,-97.284
0,0.0904,1.14313,0,-1.14313,43.7803
0,0.0899,13.332,0,13.332,-217.196
0,0.0894,23.4905,0,23.4905,92.7735
0,0.0889,35.6305,0,35.6305,61.3559
0,0.0884,113.134,0,113.134,-312.666
0,0.0879,43.9506,0,43.9506,673.047
0,0.0874,156.758,0,156.758,-55.6125
0,0.0869,57.631,0,-57.631,327.82
0,0.0864,74.4737,0,74.4737,270.766
0,0.0859,43.0222,0,-43.0222,414.503
0,0.0854,86.6741,0,86.6741,2.76619
0,0.0849,23.001,0,-23.001,178.523
0,0.0844,10.1902,0,-10.1902,-81.9837
0,0.0839,13.7133,0,13.7133,69.1939
0,0.0834,5.4539,0,5.4539,11.5902
0,0.0829,54.3468,0,54.3468,39.7613
0,0.0824,23.4951,0,-23.4951,31.6181
0,0.0819,67.469,0,67.469,49.5085
0,0.0814,42.9267,0,-42.9267,191.868
0,0.0809,24.4156,0,-24.4156,111.959
0,0.0804,34.0813,0,-34.0813,7.03454
0,0.0799,23.321,0,-23.321,-137.403
0,0.0794,33.0224,0,33.0224,49.7031
0,0.0789,5.06023,0,-5.06023,25.2395
0,0.0784,13.4293,0,13.4293,43.5086
0,0.0779,4.2046,0,4.2046,62.1331
0,0.0774,1.6856,0,1.6856,55.5586
0,0.0769,2.99505,0,2.99505,53.8728
0,0.0764,6.42183,0,6.42183,58.2818
0,0.0759,1.81612,0,-1.81612,56.5608
0,0.0754,5.21197,0,5.21197,56.1038
0,0.0749,2.33611,0,2.33611,56.9323
0,0.0744,4.31695,0,4.31695,56.7096
0,0.0739,1.88415,0,1.88415,56.2525
0,0.0734,5.04366,0,5.04366,57.3454
0,0.0729,0.65287,0,0.65287,56.8659
0,0.0724,4.567,0,4.567,56.5428
0,0.0719,1.62747,0,1.62747,56.738
0,0.0714,3.64321,0,3.64321,56.5506
0,0.0709,2.24608,0,2.24608,56.5388
0,0.0704,3.31158,0,3.31158,56.6228
0,0.0699,2.39949,0,2.39949,56.6484
0,0.0694,3.18691,0,3.18691,56.6937
0,0.0689,2.38098,0,2.38098,56.6431
0,0.0684,3.32166,0,3.32166,56.7572
0,0.0679,2.19019,0,2.19019,56.6552
0,0.0674,3.44685,0,3.44685,56.7527
0,0.0669,2.18247,0,2.18247,56.7611
0,0.0664,3.28953,0,3.28953,56.7262
0,0.0659,2.40406,0,2.40406,56.7747
0,0.0654,3.05629,0,3.05629,56.7456
0,0.0649,2.59161,0,2.59161,56.7711
0,0.0644,2.90805,0,2.90805,56.7577
0,0.0639,2.69305,0,2.69305,56.7759
0,0.0634,2.8367,0,2.8367,56.7767
0,0.0629,2.7183,0,2.7183,56.7788
0,0.0624,2.83522,0,2.83522,56.7994
0,0.0619,2.6929,0,2.6929,56.7946
0,0.0614,2.8451,0,2.8451,56.8084
0,0.0609,2.69261,0,2.69261,56.8176
0,0.0604,2.81385,0,2.81385,56.8143
0,0.0599,2.7269,0,2.7269,56.8305
0,0.0594,2.77259,0,2.77259,56.831
0,0.0589,2.74783,0,2.74783,56.84
0,0.0584,2.75566,0,2.75566,56.8473
0,0.0579,2.74606,0,2.74606,56.8528
0,0.0574,2.75281,0,2.75281,56.861
0,0.0569,2.7385,0,2.7385,56.8667
0,0.0564,2.75081,0,2.75081,56.8746
0,0.0559,2.73206,0,2.73206,56.8802
0,0.0554,2.74707,0,2.74707,56.8879
0,0.0549,2.72786,0,2.72786,56.8943
0,0.0544,2.74088,0,2.74088,56.9013
0,0.0539,2.72539,0,2.72539,56.9084
0,0.0534,2.73397,0,2.73397,56.9154
0,0.0529,2.72228,0,2.72228,56.9223
0,0.0524,2.72816,0,2.72816,56.9296
0,0.0519,2.71799,0,2.71799,56.9364
0,0.0514,2.72301,0,2.72301,56.9437
0,0.0509,2.71354,0,2.71354,56.9506
0,0.0504,2.7177,0,2.7177,56.9578
0,0.0499,2.70925,0,2.70925,56.9648
0,0.0494,2.71219,0,2.71219,56.9721
0,0.0489,2.70493,0,2.70493,56.9792
0,0.0484,2.70673,0,2.70673,56.9866
0,0.0479,2.70031,0,2.70031,56.9937
0,0.0474,2.70161,0,2.70161,57.0012
0,0.0469,2.69527,0,2.69527,57.0084
0,0.0464,2.6965,0,2.6965,57.0158
0,0.0459,2.6905,0,2.6905,57.0232
0,0.0454,2.69075,0,2.69075,57.0305
0,0.0449,2.6863,0,2.6863,57.0382
0,0.0444,2.68464,0,2.68464,57.0455
0,0.0439,2.6818,0,2.6818,57.0531
0,0.0434,2.67922,0,2.67922,57.0608
0,0.0429,2.67628,0,2.67628,57.0682
0,0.0424,2.67448,0,2.67448,57.0761
0,0.0419,2.67048,0,2.67048,57.0837
0,0.0414,2.66929,0,2.66929,57.0914
0,0.0409,2.66541,0,2.66541,57.0993
0,0.0404,2.66327,0,2.66327,57.1069
0,0.0399,2.66069,0,2.66069,57.1149
0,0.0394,2.65731,0,2.65731,57.1227
0,0.0389,2.65529,0,2.65529,57.1306
0,0.0384,2.65205,0,2.65205,57.1387
0,0.0379,2.64923,0,2.64923,57.1466
0,0.0374,2.64693,0,2.64693,57.1548
0,0.0369,2.64331,0,2.64331,57.1629
0,0.0364,2.64122,0,2.64122,57.171
0,0.0359,2.63789,0,2.63789,57.1793
0,0.0354,2.63507,0,2.63507,57.1874
0,0.0349,2.63241,0,2.63241,57.1958
0,0.0344,2.62914,0,2.62914,57.2042
0,0.0339,2.6264,0,2.6264,57.2125
0,0.0334,2.62354,0,2.62354,57.221
0,0.0329,2.62008,0,2.62008,57.2294
0,0.0324,2.61787,0,2.61787,57.2381
0,0.0319,2.61386,0,2.61386,57.2467
0,0.0314,2.61173,0,2.61173,57.2553
0,0.0309,2.60804,0,2.60804,57.2642
0,0.0304,2.60498,0,2.60498,57.2728
0,0.0299,2.60247,0,2.60247,57.2819
0,0.0294,2.59812,0,2.59812,57.2906
0,0.0289,2.59637,0,2.59637,57.2997
0,0.0284,2.59194,0,2.59194,57.3088
0,0.0279,2.58934,0,2.58934,57.3178
0,0.0274,2.58612,0,2.58612,57.3271
0,0.0269,2.58231,0,2.58231,57.3364
0,0.0264,2.57957,0,2.57957,57.3456
0,0.0259,2.57592,0,2.57592,57.3552
0,0.0254,2.57244,0,2.57244,57.3646
0,0.0249,2.56938,0,2.56938,57.3742
0,0.0244,2.56564,0,2.56564,57.3839
0,0.0239,2.56212,0,2.56212,57.3935
0,0.0234,2.55908,0,2.55908,57.4035
0,0.0229,2.55472,0,2.55472,57.4134
0,0.0224,2.55199,0,2.55199,57.4234
0,0.0219,2.54771,0,2.54771,57.4336
0,0.0214,2.54429,0,2.54429,57.4437
0,0.0209,2.54074,0,2.54074,57.4542
0,0.0204,2.53651,0,2.53651,57.4646
0,0.0199,2.53329,0,2.53329,57.4751
0,0.0194,2.52887,0,2.52887,57.4859
0,0.0189,2.52544,0,2.52544,57.4967
0,0.0184,2.52112,0,2.52112,57.5076
0,0.0179,2.51737,0,2.51737,57.5187
0,0.0174,2.51317,0,2.51317,57.5299
0,0.0169,2.50907,0,2.50907,57.5413
0,0.0164,2.50493,0,2.50493,57.5528
0,0.0159,2.50069,0,2.50069,57.5645
0,0.0154,2.49625,0,2.49625,57.5763
0,0.0149,2.49215,0,2.49215,57.5883
0,0.0144,2.4874,0,2.4874,57.6005
0,0.0139,2.48306,0,2.48306,57.6128
0,0.0134,2.4785,0,2.4785,57.6255
0,0.0129,2.47358,0,2.47358,57.6382
0,0.0124,2.46924,0,2.46924,57.6512
0,0.0119,2.46391,0,2.46391,57.6643
0,0.0114,2.45954,0,2.45954,57.6777
0,0.0109,2.454,0,2.454,57.6913
0,0.0104,2.44943,0,2.44943,57.705
0,0.0099,2.44396,0,2.44396,57.719
0,0.0094,2.43881,0,2.43881,57.7331
0,0.0089,2.43381,0,2.43381,57.7475
0,0.0084,2.42798,0,2.42798,57.7618
0,0.0079,2.4233,0,2.4233,57.7764
0,0.0074,2.4173,0,2.4173,57.791
0,0.0069,2.41251,0,2.41251,57.8056
0,0.0064,2.4069,0,2.4069,57.8202
0,0.0059,2.40189,0,2.40189,57.8346
0,0.0054,2.39697,0,2.39697,57.8488
0,0.0049,2.39198,0,2.39198,57.8625
0,0.0044,2.38813,0,2.38813,57.8755
0,0.0039,2.38359,0,2.38359,57.888
0,0.0034,2.38113,0,2.38113,57.8988
0,0.0029,2.37848,0,2.37848,57.9085
0,0.0024,2.37819,0,2.37819,57.9145
0,0.0019,2.37878,0,2.37878,57.922
0,0.0014,2.37443,-0.000353433,2.37443,57.9265
0,0.0009,2.37261,-0.00050993,2.37261,57.9403
0,0.0004,2.37556,-0.000546941,2.37556,57.9347
0,0,2.35,0,2.35,57.9867
0.00008,0.1,3.4356,3.4356,0,-61.8221
0.00008,0.0994,98.5624,-8.71425,-98.1764,-138.07
0.00008,0.0989,62.1993,-21.8467,58.2363,114.27
0.00008,0.0984,135.48,-14.4559,-134.707,-625.027
0.00008,0.0979,46.349,2.28067,46.2928,629.671
0.00008,0.0974,108.504,1.83383,-108.489,-1364.41
0.00008,0.0969,22.2493,-1.19459,-22.2172,501.473
0.00008,0.0964,126.519,-3.34114,-126.475,-1183.47
0.00008,0.0959,128.288,-4.12609,-128.222,105.177
0.00008,0.0954,66.3758,-3.22743,-66.2973,492.693
0.00008,0.0949,86.5768,-1.50057,-86.5638,400.145
0.00008,0.0944,40.4444,0.807184,-40.4364,-67.9863
0.00008,0.0939,36.9785,-0.323028,36.9771,-114.468
0.00008,0.0934,53.2518,-0.19603,53.2515,984.697
0.00008,0.0929,28.4166,-1.09505,28.3955,578.588
0.00008,0.0924,38.5536,-2.91151,38.4436,-92.7905
0.00008,0.0919,6.47575,-4.92468,4.2051,490.667
0.00008,0.0914,19.1651,-0.905566,-19.1437,-81.6904
0.00008,0.0909,5.16455,2.31792,4.61518,-87.5806
0.00008,0.0904,1.99842,1.74348,0.976698,48.4841
0.00008,0.0899,11.9455,0.0541078,11.9454,-155.864
0.00008,0.0894,19.4096,-1.5939,19.344,93.1322
0.00008,0.0889,30.5799,-1.0817,30.5607,58.8191
0.00008,0.0884,94.8889,0.684245,94.8864,-249.703
0.00008,0.0879,33.5318,5.26216,33.1164,612.734
0.00008,0.0874,124.244,8.04785,123.983,27.7586
0.00008,0.0869,44.7659,2.74389,-44.6818,285.354
0.00008,0.0864,64.2791,-5.13355,64.0738,257.437
0.00008,0.0859,38.7206,0.152481,-38.7203,362.03
0.00008,0.0854,66.737,1.80814,66.7125,-20.7257
0.00008,0.0849,18.3834,0.536567,-18.3756,128.844
0.00008,0.0844,6.54305,0.796087,-6.49444,-71.694
0.00008,0.0839,12.8936,-0.605778,12.8794,61.527
0.00008,0.0834,5.33314,-0.186902,5.32986,15.3397
0.00008,0.0829,46.2846,-0.554966,46.2813,37.4038
0.00008,0.0824,18.2895,1.39503,-18.2362,29.3749
0.00008,0.0819,53.5136,4.61621,53.3141,48.7306
0.00008,0.0814,36.7086,2.59898,-36.6164,169.387
0.00008,0.0809,18.2116,-7.07593,-16.7808,94.4817
0.00008,0.0804,30.0734,-17.2815,-24.6122,13.313
0.00008,0.0799,23.3133,-8.88405,-21.5542,-89.0829
0.00008,0.0794,25.1748,0.150422,25.1744,56.3404
0.00008,0.0789,4.29472,-2.62681,-3.39772,30.9724
0.00008,0.0784,11.24,0.334179,11.235,47.0337
0.00008,0.0779,3.69411,-0.0898994,3.69302,61.0325
0.00008,0.0774,2.14418,-0.239392,2.13077,55.5511
0.00008,0.0769,2.97668,0.288274,2.96269,54.3653
0.00008,0.0764,5.72176,-0.0279672,5.72169,57.6742
0.00008,0.0759,0.755931,-0.116582,-0.746887,56.1739
0.00008,0.0754,4.83385,0.0919111,4.83298,56.0562
0.00008,0.0749,2.39195,-0.0552251,2.39131,56.8253
0.00008,0.0744,4.08883,-0.0412777,4.08863,56.6416
0.00008,0.0739,2.05809,0.0638198,2.0571,56.3045
0.00008,0.0734,4.62799,0.00716502,4.62798,57.1518
0.00008,0.0729,1.09936,-0.0180424,1.09921,56.7488
0.00008,0.0724,4.24524,0.0406463,4.24505,56.5384
0.00008,0.0719,1.8522,-0.0327465,1.85191,56.6992
0.00008,0.0714,3.50148,0.0190299,3.50143,56.555
0.00008,0.0709,2.35173,-0.0152202,2.35168,56.5505
0.00008,0.0704,3.22006,0.0070253,3.22005,56.6324
0.00008,0.0699,2.4737,-0.00383248,2.4737,56.6521
0.00008,0.0694,3.12013,-0.00172435,3.12013,56.6913
0.00008,0.0689,2.45527,0.00633492,2.45526,56.6542
0.00008,0.0684,3.22718,-0.00790881,3.22717,56.7425
0.00008,0.0679,2.30499,0.00419834,2.30498,56.6635
0.00008,0.0674,3.32199,0.00279715,3.32199,56.7479
0.00008,0.0669,2.29915,-0.00609422,2.29914,56.7513
0.00008,0.0664,3.19518,0.00916908,3.19517,56.7289
0.00008,0.0659,2.47536,-0.00889135,2.47534,56.7676
0.00008,0.0654,3.00572,0.00719932,3.00571,56.7484
0.00008,0.0649,2.62657,-0.00596764,2.62656,56.7678
0.00008,0.0644,2.88439,0.00379913,2.88439,56.7602
0.00008,0.0639,2.70818,-0.0027374,2.70818,56.7745
0.00008,0.0634,2.82615,0.000659636,2.82615,56.7768
0.00008,0.0629,2.72772,0.000111636,2.72772,56.7801
0.00008,0.0624,2.82347,-0.000945808,2.82347,56.7979
