r,z,"v(r,z)",u_r,w_z,P
0,0.1,0,0,0,2.36812
0,0.0994,3.49683,0,3.49683,-1.34547
0,0.0989,1.51322,0,1.51322,1.54796
0,0.0984,1.49132,0,1.49132,1.94295
0,0.0979,1.66698,0,1.66698,1.56978
0,0.0974,1.74116,0,1.74116,1.30571
0,0.0969,1.99789,0,1.99789,1.04283
0,0.0964,1.92264,0,1.92264,0.784182
0,0.0959,2.26723,0,2.26723,0.56544
0,0.0954,2.08146,0,2.08146,0.403827
0,0.0949,2.34549,0,2.34549,0.267989
0,0.0944,2.23834,0,2.23834,0.173225
0,0.0939,2.37606,0,2.37606,0.0799458
0,0.0934,2.32109,0,2.32109,0.0169121
0,0.0929,2.41429,0,2.41429,-0.0306023
0,0.0924,2.36172,0,2.36172,-0.0724859
0,0.0919,2.4295,0,2.4295,-0.111946
0,0.0914,2.41125,0,2.41125,-0.128409
0,0.0909,2.41556,0,2.41556,-0.158338
0,0.0904,2.45213,0,2.45213,-0.169772
0,0.0899,2.41526,0,2.41526,-0.182331
0,0.0894,2.45515,0,2.45515,-0.194805
0,0.0889,2.43666,0,2.43666,-0.197771
0,0.0884,2.44364,0,2.44364,-0.20496
0,0.0879,2.44943,0,2.44943,-0.207588
0,0.0874,2.4429,0,2.4429,-0.208548
0,0.0869,2.44847,0,2.44847,-0.209798
0,0.0864,2.44526,0,2.44526,-0.209433
0,0.0859,2.44708,0,2.44708,-0.207771
0,0.0854,2.44371,0,2.44371,-0.206487
0,0.0849,2.44583,0,2.44583,-0.204225
0,0.0844,2.44253,0,2.44253,-0.201074
0,0.0839,2.44204,0,2.44204,-0.198542
0,0.0834,2.4416,0,2.4416,-0.194944
0,0.0829,2.4387,0,2.4387,-0.191358
0,0.0824,2.43858,0,2.43858,-0.18778
0,0.0819,2.43639,0,2.43639,-0.183707
0,0.0814,2.43499,0,2.43499,-0.17968
0,0.0809,2.4334,0,2.4334,-0.175591
0,0.0804,2.43183,0,2.43183,-0.171269
0,0.0799,2.43003,0,2.43003,-0.166933
0,0.0794,2.4284,0,2.4284,-0.16258
0,0.0789,2.42675,0,2.42675,-0.158096
0,0.0784,2.42492,0,2.42492,-0.153546
0,0.0779,2.42308,0,2.42308,-0.149093
0,0.0774,2.4217,0,2.4217,-0.144388
0,0.0769,2.41926,0,2.41926,-0.139831
0,0.0764,2.41817,0,2.41817,-0.135174
0,0.0759,2.4158,0,2.4158,-0.130441
0,0.0754,2.41429,0,2.41429,-0.125825
0,0.0749,2.41239,0,2.41239,-0.121113
0,0.0744,2.41055,0,2.41055,-0.116387
0,0.0739,2.40872,0,2.40872,-0.111652
0,0.0734,2.40685,0,2.40685,-0.106898
0,0.0729,2.40509,0,2.40509,-0.10206
0,0.0724,2.40299,0,2.40299,-0.0972645
0,0.0719,2.40137,0,2.40137,-0.0924271
0,0.0714,2.39932,0,2.39932,-0.0875006
0,0.0709,2.39733,0,2.39733,-0.0827142
0,0.0704,2.39579,0,2.39579,-0.0777404
0,0.0699,2.39333,0,2.39333,-0.0728743
0,0.0694,2.39197,0,2.39197,-0.0679447
0,0.0689,2.38955,0,2.38955,-0.0630261
0,0.0684,2.38805,0,2.38805,-0.0580724
0,0.0679,2.3857,0,2.3857,-0.0531473
0,0.0674,2.38417,0,2.38417,-0.0481608
0,0.0669,2.38185,0,2.38185,-0.0431631
0,0.0664,2.3801,0,2.3801,-0.0382103
0,0.0659,2.37814,0,2.37814,-0.0331455
0,0.0654,2.37597,0,2.37597,-0.0281379
0,0.0649,2.37423,0,2.37423,-0.023125
0,0.0644,2.37214,0,2.37214,-0.0179708
0,0.0639,2.36993,0,2.36993,-0.0130116
0,0.0634,2.36848,0,2.36848,-0.00781046
0,0.0629,2.36565,0,2.36565,-0.00276235
0,0.0624,2.3645,0,2.3645,0.00237371
0,0.0619,2.36174,0,2.36174,0.00756222
0,0.0614,2.36011,0,2.36011,0.0126534
0,0.0609,2.358,0,2.358,0.0178953
0,0.0604,2.35573,0,2.35573,0.0230596
0,0.0599,2.35399,0,2.35399,0.0282697
0,0.0594,2.35165,0,2.35165,0.0335339
0,0.0589,2.34966,0,2.34966,0.0387315
0,0.0584,2.34764,0,2.34764,0.0440249
0,0.0579,2.34536,0,2.34536,0.0492946
0,0.0574,2.34346,0,2.34346,0.0546069
0,0.0569,2.34111,0,2.34111,0.0599092
0,0.0564,2.33925,0,2.33925,0.0652852
0,0.0559,2.33677,0,2.33677,0.0706133
0,0.0554,2.33501,0,2.33501,0.0760056
0,0.0549,2.3325,0,2.3325,0.0814361
0,0.0544,2.33053,0,2.33053,0.0868001
0,0.0539,2.32838,0,2.32838,0.0923276
0,0.0534,2.32588,0,2.32588,0.0977056
0,0.0529,2.32422,0,2.32422,0.103256
0,0.0524,2.32134,0,2.32134,0.108722
0,0.0519,2.3198,0,2.3198,0.114265
0,0.0514,2.31697,0,2.31697,0.119819
0,0.0509,2.31517,0,2.31517,0.125384
0,0.0504,2.31261,0,2.31261,0.130974
0,0.0499,2.31058,0,2.31058,0.136599
0,0.0494,2.30808,0,2.30808,0.142219
0,0.0489,2.30602,0,2.30602,0.147884
0,0.0484,2.30352,0,2.30352,0.153594
0,0.0479,2.30128,0,2.30128,0.159239
0,0.0474,2.29912,0,2.29912,0.165061
0,0.0469,2.29633,0,2.29633,0.170728
0,0.0464,2.29467,0,2.29467,0.176583
0,0.0459,2.29152,0,2.29152,0.18237
0,0.0454,2.28984,0,2.28984,0.188182
0,0.0449,2.28701,0,2.28701,0.194112
0,0.0444,2.2847,0,2.2847,0.199943
0,0.0439,2.28246,0,2.28246,0.205897
0,0.0434,2.27976,0,2.27976,0.211871
0,0.0429,2.27747,0,2.27747,0.217784
0,0.0424,2.27512,0,2.27512,0.223879
0,0.0419,2.27224,0,2.27224,0.229854
0,0.0414,2.27031,0,2.27031,0.235948
0,0.0409,2.26728,0,2.26728,0.242079
0,0.0404,2.26507,0,2.26507,0.248147
0,0.0399,2.26252,0,2.26252,0.25438
0,0.0394,2.25972,0,2.25972,0.26054
0,0.0389,2.25751,0,2.25751,0.266772
0,0.0384,2.25462,0,2.25462,0.273081
0,0.0379,2.25212,0,2.25212,0.279331
0,0.0374,2.24962,0,2.24962,0.285723
0,0.0369,2.24668,0,2.24668,0.292077
0,0.0364,2.24436,0,2.24436,0.298485
0,0.0359,2.24143,0,2.24143,0.304965
0,0.0354,2.23882,0,2.23882,0.31142
0,0.0349,2.23617,0,2.23617,0.317972
0,0.0344,2.23327,0,2.23327,0.32454
0,0.0339,2.23067,0,2.23067,0.331131
0,0.0334,2.22783,0,2.22783,0.337822
0,0.0329,2.22494,0,2.22494,0.34447
0,0.0324,2.22239,0,2.22239,0.351262
0,0.0319,2.21913,0,2.21913,0.358021
0,0.0314,2.21672,0,2.21672,0.364859
0,0.0309,2.21347,0,2.21347,0.371783
0,0.0304,2.21067,0,2.21067,0.378644
0,0.0299,2.20794,0,2.20794,0.385722
0,0.0294,2.20445,0,2.20445,0.39269
0,0.0289,2.20213,0,2.20213,0.399808
0,0.0284,2.19849,0,2.19849,0.406979
0,0.0279,2.19582,0,2.19582,0.414132
0,0.0274,2.19267,0,2.19267,0.421444
0,0.0269,2.18942,0,2.18942,0.428746
0,0.0264,2.18648,0,2.18648,0.43611
0,0.0259,2.18321,0,2.18321,0.443586
0,0.0254,2.17997,0,2.17997,0.451067
0,0.0249,2.17687,0,2.17687,0.458638
0,0.0244,2.17351,0,2.17351,0.466313
0,0.0239,2.17017,0,2.17017,0.473977
0,0.0234,2.16706,0,2.16706,0.481822
0,0.0229,2.1633,0,2.1633,0.489662
0,0.0224,2.16032,0,2.16032,0.497627
0,0.0219,2.15649,0,2.15649,0.505686
0,0.0214,2.1532,0,2.1532,0.513782
0,0.0209,2.14963,0,2.14963,0.522032
0,0.0204,2.14592,0,2.14592,0.530324
0,0.0199,2.14247,0,2.14247,0.538754
0,0.0194,2.13856,0,2.13856,0.54726
0,0.0189,2.13504,0,2.13504,0.555896
0,0.0184,2.13103,0,2.13103,0.564622
0,0.0179,2.12736,0,2.12736,0.573476
0,0.0174,2.12332,0,2.12332,0.582461
0,0.0169,2.1194,0,2.1194,0.591554
0,0.0164,2.11535,0,2.11535,0.600791
0,0.0159,2.11124,0,2.11124,0.610173
0,0.0154,2.10704,0,2.10704,0.619685
0,0.0149,2.10282,0,2.10282,0.629358
0,0.0144,2.09846,0,2.09846,0.6392
0,0.0139,2.09403,0,2.09403,0.649183
