r,z,"v(r,z)",u_r,w_z,P
0,0.1,0,0,0,-43.8327
0,0.0994,12.8995,0,12.8995,-73.4107
0,0.0989,40.5674,0,40.5674,-63.1056
0,0.0984,5.08019,0,-5.08019,0.00770357
0,0.0979,17.8856,0,-17.8856,7.93322
0,0.0974,6.24377,0,6.24377,-12.5716
0,0.0969,6.09459,0,6.09459,1.39024
0,0.0964,9.54825,0,-9.54825,-3.97154
0,0.0959,6.60926,0,-6.60926,3.9354
0,0.0954,13.6934,0,13.6934,11.5591
0,0.0949,25.5184,0,-25.5184,-6.13217
0,0.0944,34.4469,0,34.4469,-3.49962
0,0.0939,29.4536,0,-29.4536,-5.87374
0,0.0934,42.2872,0,42.2872,2.98036
0,0.0929,40.1295,0,-40.1295,-0.0233453
0,0.0924,41.6086,0,41.6086,4.90473
0,0.0919,32.2411,0,-32.2411,2.21405
0,0.0914,20.1151,0,20.1151,-7.09198
0,0.0909,2.17365,0,-2.17365,-4.29697
0,0.0904,1.01744,0,-1.01744,-8.7494
0,0.0899,9.92683,0,9.92683,-7.62598
0,0.0894,3.3459,0,-3.3459,-6.38179
0,0.0889,5.66644,0,5.66644,-8.30743
0,0.0884,2.04809,0,2.04809,-7.89023
0,0.0879,1.78137,0,1.78137,-7.98758
0,0.0874,3.81942,0,3.81942,-7.7108
0,0.0869,0.802491,0,0.802491,-7.9045
0,0.0864,4.02311,0,4.02311,-7.80222
0,0.0859,1.08445,0,1.08445,-7.89018
0,0.0854,3.29385,0,3.29385,-8.00343
0,0.0849,2.13463,0,2.13463,-7.68464
0,0.0844,2.24167,0,2.24167,-7.90398
0,0.0839,2.76892,0,2.76892,-7.89848
0,0.0834,2.20374,0,2.20374,-7.80724
0,0.0829,2.41869,0,2.41869,-7.94139
0,0.0824,2.64342,0,2.64342,-7.84678
0,0.0819,2.15951,0,2.15951,-7.85894
0,0.0814,2.63034,0,2.63034,-7.91323
0,0.0809,2.36757,0,2.36757,-7.84547
0,0.0804,2.38424,0,2.38424,-7.88332
0,0.0799,2.51986,0,2.51986,-7.87509
0,0.0794,2.35638,0,2.35638,-7.8497
0,0.0789,2.44826,0,2.44826,-7.87416
0,0.0784,2.4498,0,2.4498,-7.84988
0,0.0779,2.37375,0,2.37375,-7.85272
0,0.0774,2.47176,0,2.47176,-7.84945
0,0.0769,2.38093,0,2.38093,-7.8419
0,0.0764,2.44396,0,2.44396,-7.83823
0,0.0759,2.39639,0,2.39639,-7.83638
0,0.0754,2.4344,0,2.4344,-7.82663
0,0.0749,2.38879,0,2.38879,-7.82655
0,0.0744,2.43582,0,2.43582,-7.81935
0,0.0739,2.38594,0,2.38594,-7.81441
0,0.0734,2.42345,0,2.42345,-7.81166
0,0.0729,2.396,0,2.396,-7.80431
0,0.0724,2.40597,0,2.40597,-7.80148
0,0.0719,2.40206,0,2.40206,-7.79571
0,0.0714,2.39745,0,2.39745,-7.79081
0,0.0709,2.39907,0,2.39907,-7.78612
0,0.0704,2.39439,0,2.39439,-7.78116
0,0.0699,2.39448,0,2.39448,-7.77612
0,0.0694,2.39088,0,2.39088,-7.77131
0,0.0689,2.39033,0,2.39033,-7.76644
0,0.0684,2.38774,0,2.38774,-7.76121
0,0.0679,2.38534,0,2.38534,-7.75667
0,0.0674,2.38497,0,2.38497,-7.75143
0,0.0669,2.38087,0,2.38087,-7.74652
0,0.0664,2.38092,0,2.38092,-7.74163
0,0.0659,2.3776,0,2.3776,-7.73646
0,0.0654,2.37621,0,2.37621,-7.73154
0,0.0649,2.37416,0,2.37416,-7.7265
0,0.0644,2.37215,0,2.37215,-7.72134
0,0.0639,2.36991,0,2.36991,-7.71641
0,0.0634,2.36852,0,2.36852,-7.71119
0,0.0629,2.36559,0,2.36559,-7.70615
0,0.0624,2.36455,0,2.36455,-7.70101
0,0.0619,2.3617,0,2.3617,-7.69582
0,0.0614,2.36015,0,2.36015,-7.69073
0,0.0609,2.35797,0,2.35797,-7.68549
0,0.0604,2.35576,0,2.35576,-7.68032
0,0.0599,2.35395,0,2.35395,-7.67512
0,0.0594,2.35168,0,2.35168,-7.66985
