r,z,"v(r,z)",u_r,w_z,P
0,0.1,0,0,0,-3.70761
0,0.0994,28.224,0,28.224,-55.0459
0,0.0989,54.4523,0,-54.4523,-410.417
0,0.0984,12.6387,0,12.6387,652.426
0,0.0979,2.65336,0,-2.65336,-86.6896
0,0.0974,5.75918,0,-5.75918,149.943
0,0.0969,36.0775,0,36.0775,268.593
0,0.0964,29.6514,0,29.6514,867.02
0,0.0959,6.10213,0,6.10213,402.458
0,0.0954,31.4089,0,-31.4089,1540.97
0,0.0949,10.8761,0,-10.8761,65.5839
0,0.0944,15.3878,0,-15.3878,-14.7794
0,0.0939,34.1132,0,34.1132,-151.465
0,0.0934,10.2988,0,10.2988,-70.0585
0,0.0929,28.0122,0,28.0122,-191.895
0,0.0924,22.1663,0,-22.1663,251.731
0,0.0919,76.4009,0,76.4009,-1409.43
0,0.0914,34.0034,0,-34.0034,155.554
0,0.0909,15.1645,0,-15.1645,-1381.07
0,0.0904,12.9709,0,-12.9709,-356.255
0,0.0899,85.3024,0,-85.3024,-1067.79
0,0.0894,242.751,0,242.751,1573.45
0,0.0889,154.2,0,154.2,581.649
0,0.0884,265.12,0,-265.12,-83.9427
0,0.0879,6.22893,0,6.22893,771.335
0,0.0874,32.3188,0,-32.3188,-680.572
0,0.0869,15.4128,0,-15.4128,-178.949
0,0.0864,1.84124,0,1.84124,168.137
0,0.0859,19.3794,0,-19.3794,51.6112
0,0.0854,3.43065,0,3.43065,-605.604
0,0.0849,36.4897,0,-36.4897,831.363
0,0.0844,20.055,0,-20.055,-119.862
0,0.0839,1.35441,0,-1.35441,909.579
0,0.0834,23.2598,0,23.2598,-947.183
0,0.0829,8.10246,0,-8.10246,403.782
0,0.0824,26.8566,0,26.8566,966.598
0,0.0819,174.623,0,-174.623,377.31
0,0.0814,91.0566,0,91.0566,429.064
0,0.0809,64.4955,0,-64.4955,-289.56
0,0.0804,97.0815,0,-97.0815,2335.39
0,0.0799,144.88,0,144.88,942.901
0,0.0794,122.011,0,-122.011,833.701
0,0.0789,101.611,0,101.611,1075.36
0,0.0784,99.3579,0,-99.3579,433.423
0,0.0779,59.2444,0,59.2444,157.133
0,0.0774,26.0246,0,-26.0246,138.071
0,0.0769,55.1948,0,55.1948,154.887
0,0.0764,10.7513,0,10.7513,141.154
0,0.0759,18.9984,0,18.9984,58.1796
0,0.0754,27.7403,0,-27.7403,94.8133
0,0.0749,35.2219,0,35.2219,85.6924
0,0.0744,12.0425,0,-12.0425,262.762
0,0.0739,68.5271,0,68.5271,69.7282
